BA,Total_Load_Time_UTC,Total_Load_MWh,Transportation_Load_Penetration_Ratio,Non-Transportation_Load_Time_UTC,Non-Transportation_Load_MWh,Time_Shifting_in_hours
AVA,2050-11-25 03:00:00,3630.29,10.290913398103182,2050-11-23 03:00:00,3267.44,48.0
AZPS,2050-07-16 01:00:00,12692.86,20.810282316199814,2050-07-15 23:00:00,10276.24,2.0
BANC,2050-08-25 23:00:00,7356.18,9.44906187722432,2050-08-25 23:00:00,6661.09,0.0
BPAT,2050-11-23 16:00:00,16004.83,9.034460222320387,2050-11-23 16:00:00,14558.88,0.0
CHPD,2050-12-31 17:00:00,721.15,11.774249462663802,2050-12-31 17:00:00,636.24,0.0
CISO,2050-08-26 01:00:00,85254.16,13.406747541703536,2050-08-26 01:00:00,73824.35,0.0
DOPD,2050-11-24 17:00:00,547.0,5.16636197440585,2050-11-24 17:00:00,518.74,0.0
EPE,2050-06-06 22:00:00,2927.76,4.773956881711616,2050-06-06 22:00:00,2787.99,0.0
GCPD,2050-07-10 00:00:00,1393.9,2.776382810818567,2050-07-10 00:00:00,1355.2,0.0
IID,2050-08-25 02:00:00,3192.03,55.31965551702208,2050-07-18 00:00:00,1529.57,914.0
IPCO,2050-07-19 00:00:00,6459.3,6.8676172340656105,2050-07-19 00:00:00,6015.7,0.0
LDWP,2050-09-28 01:00:00,15037.38,35.969231342162004,2050-07-15 23:00:00,10385.98,1778.0
NEVP,2050-07-19 01:00:00,14973.88,9.607195997296627,2050-07-18 23:00:00,13734.23,2.0
NWMT,2050-08-01 00:00:00,2686.01,12.8301830596312,2050-08-01 00:00:00,2341.39,0.0
PACE,2050-07-17 00:00:00,16252.04,8.669127075739414,2050-07-17 00:00:00,14843.13,0.0
PACW,2050-07-25 01:00:00,5517.44,5.661683679387543,2050-07-25 01:00:00,5205.06,0.0
PGE,2050-07-09 02:00:00,6871.11,15.264200398480014,2050-07-09 01:00:00,5854.82,1.0
PNM,2050-07-19 00:00:00,5789.94,15.059396125003024,2050-07-19 23:00:00,4959.16,-23.0
PSCO,2050-07-20 00:00:00,16228.84,9.862319179929065,2050-07-20 00:00:00,14628.3,0.0
PSEI,2050-11-25 03:00:00,9377.93,14.522181334260331,2050-11-25 03:00:00,8016.05,0.0
SCL,2050-11-23 03:00:00,3022.56,16.766581970250385,2050-11-23 03:00:00,2515.78,0.0
SRP,2050-07-15 23:00:00,10064.36,1.9117956829843128,2050-07-15 23:00:00,9871.95,0.0
TEPC,2050-07-16 01:00:00,4906.99,11.78706294490105,2050-07-15 23:00:00,4399.5,2.0
TIDC,2050-08-25 23:00:00,1085.12,9.3473532881156,2050-08-25 23:00:00,983.69,0.0
TPWR,2050-11-25 03:00:00,1536.23,13.31376161121707,2050-11-23 18:00:00,1340.57,33.0
WACM,2050-07-18 00:00:00,8788.95,11.008709800374334,2050-07-18 00:00:00,7821.4,0.0
WALC,2050-08-25 01:00:00,2731.2,15.17098711189221,2050-08-25 22:00:00,2318.63,-21.0
WAUW,2050-08-01 00:00:00,306.17,25.048175850017962,2050-08-01 00:00:00,229.48,0.0
