BA,Total_Load_Time_UTC,Total_Load_MWh,Transportation_Load_Penetration_Ratio,Non-Transportation_Load_Time_UTC,Non-Transportation_Load_MWh,Time_Shifting_in_hours
AVA,2025-02-04 17:00:00,2748.23,1.5842924354948458,2025-02-04 17:00:00,2704.69,0.0
AZPS,2025-07-08 01:00:00,8842.29,6.525685088365117,2025-07-08 01:00:00,8265.27,0.0
BANC,2025-07-10 01:00:00,5637.89,4.413885336535476,2025-07-10 01:00:00,5389.04,0.0
BPAT,2025-02-04 16:00:00,12221.69,2.436651559645188,2025-02-04 16:00:00,11923.89,0.0
CHPD,2025-02-04 16:00:00,545.31,1.184647264858521,2025-02-04 16:00:00,538.85,0.0
CISO,2025-07-09 01:00:00,62876.06,5.267935045548338,2025-07-09 01:00:00,59563.79,0.0
DOPD,2025-02-03 16:00:00,403.5,0.31474597273853777,2025-02-03 16:00:00,402.23,0.0
EPE,2025-06-17 23:00:00,1914.13,2.4136291683427977,2025-06-17 23:00:00,1867.93,0.0
GCPD,2025-07-10 00:00:00,1062.55,0.680438567596819,2025-07-10 00:00:00,1055.32,0.0
IID,2025-07-02 01:00:00,1740.57,25.597361783783473,2025-07-02 01:00:00,1295.03,0.0
IPCO,2025-07-07 01:00:00,4163.02,2.2087330831944114,2025-07-07 01:00:00,4071.07,0.0
LDWP,2025-08-25 00:00:00,9166.85,13.915576233929865,2025-08-25 00:00:00,7891.23,0.0
NEVP,2025-07-06 01:00:00,10177.04,2.917547734901307,2025-07-06 01:00:00,9880.12,0.0
NWMT,2025-07-10 00:00:00,1665.93,4.392141326466298,2025-07-10 00:00:00,1592.76,0.0
PACE,2025-07-07 00:00:00,10232.73,2.693220675225477,2025-07-07 00:00:00,9957.14,0.0
PACW,2025-02-04 16:00:00,4101.8,1.6936466916963284,2025-02-04 16:00:00,4032.33,0.0
PGE,2025-07-20 01:00:00,4670.57,6.355541186621761,2025-07-20 01:00:00,4373.73,0.0
PNM,2025-07-07 23:00:00,3108.99,4.799307813791618,2025-07-07 22:00:00,2966.05,1.0
PSCO,2025-06-09 00:00:00,9340.11,3.944064898593271,2025-06-09 00:00:00,8971.73,0.0
PSEI,2025-12-02 03:00:00,6922.59,3.816057284917928,2025-12-02 03:00:00,6658.42,0.0
SCL,2025-12-02 03:00:00,2239.29,4.615302171670485,2025-12-02 03:00:00,2135.94,0.0
SRP,2025-07-09 01:00:00,7981.89,0.5481157971357661,2025-07-09 01:00:00,7938.14,0.0
TEPC,2025-07-03 01:00:00,3735.19,3.265697327311328,2025-07-03 01:00:00,3613.21,0.0
TIDC,2025-07-09 23:00:00,804.18,3.685741998060136,2025-07-09 23:00:00,774.54,0.0
TPWR,2025-12-02 01:00:00,1166.93,4.167345084966536,2025-12-02 03:00:00,1122.77,-2.0
WACM,2025-07-08 00:00:00,5148.59,4.933972213751726,2025-07-08 00:00:00,4894.56,0.0
WALC,2025-07-04 22:00:00,2030.91,3.3753342097877304,2025-07-04 22:00:00,1962.36,0.0
WAUW,2025-07-11 00:00:00,168.26,13.431593961725902,2025-07-11 00:00:00,145.66,0.0
