BA,Total_Load_Time_UTC,Total_Load_MWh,Transportation_Load_Penetration_Ratio,Non-Transportation_Load_Time_UTC,Non-Transportation_Load_MWh,Time_Shifting_in_hours
AVA,2035-02-13 03:00:00,3021.18,6.5553856440198865,2035-02-13 17:00:00,2835.61,-14.0
AZPS,2035-07-29 01:00:00,10604.51,16.305232396404925,2035-07-29 01:00:00,8875.42,0.0
BANC,2035-06-26 01:00:00,6225.72,10.500793482520896,2035-06-25 23:00:00,5633.76,2.0
BPAT,2035-02-14 16:00:00,13977.27,6.676411058811913,2035-02-14 16:00:00,13044.09,0.0
CHPD,2035-02-13 16:00:00,621.14,4.23897994011012,2035-02-13 16:00:00,594.81,0.0
CISO,2035-08-02 01:00:00,72185.21,12.217211808346889,2035-08-02 01:00:00,63366.19,0.0
DOPD,2035-02-13 17:00:00,438.05,2.785070197466043,2035-02-13 17:00:00,425.85,0.0
EPE,2035-07-27 23:00:00,2364.42,4.645959685673442,2035-07-27 23:00:00,2254.57,0.0
GCPD,2035-07-20 00:00:00,1162.6,2.347324961293652,2035-07-20 00:00:00,1135.31,0.0
IID,2035-08-02 02:00:00,2618.01,48.49026550700723,2035-07-29 00:00:00,1420.68,98.0
IPCO,2035-08-07 00:00:00,5095.29,6.978601806766641,2035-08-07 00:00:00,4739.71,0.0
LDWP,2035-09-04 01:00:00,12527.48,33.85724822550106,2035-07-30 00:00:00,8803.03,865.0
NEVP,2035-08-03 01:00:00,11883.13,9.013618465841912,2035-07-27 23:00:00,10902.72,146.0
NWMT,2035-08-07 00:00:00,2114.95,11.631007825244097,2035-08-07 00:00:00,1868.96,0.0
PACE,2035-07-30 00:00:00,12824.85,7.138640997750461,2035-07-30 00:00:00,11909.33,0.0
PACW,2035-02-14 16:00:00,4631.42,4.32415976093725,2035-02-14 16:00:00,4431.15,0.0
PGE,2035-07-18 02:00:00,5789.08,14.39779723202996,2035-07-18 02:00:00,4955.58,0.0
PNM,2035-08-08 00:00:00,4103.34,14.96634449009831,2035-08-08 00:00:00,3489.22,0.0
PSCO,2035-07-30 00:00:00,12286.15,8.478408614578203,2035-07-30 00:00:00,11244.48,0.0
PSEI,2035-02-13 02:00:00,8046.15,11.704976914424911,2035-02-13 03:00:00,7165.16,-1.0
SCL,2035-02-13 01:00:00,2736.37,15.829730628533422,2035-02-13 02:00:00,2342.65,-1.0
SRP,2035-07-29 01:00:00,8621.57,1.6368248474465787,2035-07-29 01:00:00,8480.45,0.0
TEPC,2035-08-02 01:00:00,4177.65,10.084616949720537,2035-08-06 01:00:00,3764.31,-96.0
TIDC,2035-08-02 01:00:00,919.82,11.76208388597769,2035-07-27 23:00:00,836.31,122.0
TPWR,2035-02-13 02:00:00,1334.53,9.493979153709546,2035-02-13 03:00:00,1208.16,-1.0
WACM,2035-08-08 00:00:00,6762.18,12.837723929265414,2035-08-08 00:00:00,5894.07,0.0
WALC,2035-07-28 01:00:00,2276.6,9.560309233066855,2035-07-27 23:00:00,2094.26,2.0
WAUW,2035-08-22 01:00:00,232.92,23.007899708054268,2035-08-22 00:00:00,184.45,1.0
