Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2228.61,3465.58,2165.62,8020.0,8990.03,1775.0,415.61,5552.325213540759,7240.072701502276,12498.276661681552,2773.460407430721,341.18,795.92,691.5,568.33,277.78506978067674,588.0364968414455,1218.288433377878,4208.56,2780.0608560633837,1402.99,3046.89,795.7296085654881,4575.627334289283,1244.2130571452287,3111.78,1915.33,6013.9,5509.96,1789.27,1297.4391439366166,2942.21,1778.44,0.0,0.0,0.0,285.85,954.02,85.29501584469165,3909.8,1009.88,140.81
2,10826.0,2321.29,3722.96,2413.03,7440.0,9670.21,1707.0,424.93,6015.639151472799,7844.22077735105,13541.195718974139,3004.891891294737,350.23,849.48,706.38,640.23,287.8122616273645,609.2628167849139,1262.2649215877218,4692.94,3030.5356461779156,1425.94,3207.27,811.9110569123902,4668.674365048831,1269.5145780387795,3377.15,2006.91,6194.87,5919.36,1901.77,1414.3343538220843,3151.56,1878.92,0.0,0.0,0.0,328.28,1016.97,92.41246090727627,3922.7,1071.49,138.23
3,10744.0,2387.9,3770.27,2515.69,7173.0,10058.16,1665.0,420.04,6167.484020769978,8042.2221282770715,13882.998317551172,3080.740426254499,354.07,903.86,715.72,636.04,294.23670197045027,622.8625591918682,1290.4407388376815,4616.23,3111.875011016263,1426.33,3343.57,813.6058209591296,4678.419646126671,1272.1645329141986,3508.64,2048.84,6331.75,6150.55,1964.14,1452.2949889837369,3241.33,1876.06,0.0,0.0,0.0,334.07,1046.5,94.74510714727896,3949.95,1085.37,133.83
4,10738.0,2427.89,3799.24,2626.13,7027.0,10298.52,1639.0,412.75,6268.34903098327,8173.7472063112355,14110.045321219954,3131.1238424923363,356.14,905.95,715.93,608.04,298.10202914782553,631.0449768226084,1307.3929940295661,4535.41,3179.189642118443,1419.34,3420.17,818.338891593565,4705.635885332709,1279.565223073726,3563.37,2032.74,6157.68,6267.75,1983.94,1483.710357881557,3274.91,1864.14,0.0,0.0,0.0,336.79,1060.75,96.29459899320622,3912.22,1088.64,131.6
5,10778.0,2376.92,3808.41,2610.94,7019.0,10142.41,1628.0,405.71,6408.193534163202,8356.100424285385,14424.83511164788,3200.9780347180513,353.35,889.21,721.32,584.97,295.9974251433167,626.5897914988363,1298.1627833578468,4524.39,3224.550144571882,1387.81,3355.37,821.6141524163269,4724.4693845342435,1284.6864630494297,3467.12,1983.02,5933.48,6071.1,1963.0,1504.8798554281184,3143.14,1827.25,0.0,0.0,0.0,335.18,1035.1,98.44289518548179,3837.55,1081.14,127.6
6,10930.0,2311.72,3616.79,2481.69,7137.0,9794.9,1660.0,400.78,6260.449381690111,8163.446290388775,14092.26322118097,3127.177862438118,342.54,858.28,718.69,545.42,281.9636217465635,596.8819724526077,1236.614405800829,4520.83,3143.0130562146483,1334.72,3250.61,791.1829740043279,4549.48314516633,1237.1038808293424,3347.59,1903.77,5808.77,5866.67,1897.11,1466.826943785352,3013.92,1761.84,0.0,0.0,0.0,322.92,998.83,96.1732443020249,3850.6,1069.82,123.96
7,11282.0,2232.4,3487.16,2353.46,7562.0,9394.39,1697.0,392.09,5925.245861134009,7726.350521447308,13337.720542797733,2959.7392386293955,332.73,822.73,708.37,507.72,267.9191553782864,567.1515812198113,1175.0192634019022,4330.75,3017.567710559933,1285.0,3121.46,761.6033874625144,4379.393753919859,1190.8528586176274,3184.86,1823.19,5624.11,5659.01,1820.18,1408.2822894400674,2895.62,1703.17,0.0,0.0,0.0,310.17,968.55,91.02383599155667,3806.26,1055.79,118.43
8,11785.0,2152.7,3282.4,2211.87,8548.0,8955.19,1772.0,378.56,5579.637683893409,7275.687378850166,12559.756996073513,2787.1033502049418,322.72,786.62,692.46,471.29,256.35249701785096,542.6664018406516,1124.2911011414974,4052.68,2883.708888273992,1237.54,2988.83,731.258811613585,4204.905499106668,1143.4056892797473,2977.27,1736.26,5419.41,5368.0,1710.65,1345.8111117260082,2782.33,1643.34,0.0,0.0,0.0,293.33,927.58,85.71459097797195,3761.88,1046.34,113.46
9,11994.0,2084.02,3134.26,2059.54,9676.0,8639.51,1815.0,369.5,5236.165666499124,6827.809727375127,11786.601942318634,2615.5345020797936,313.6,749.95,687.06,428.46,249.33626175519456,527.8139030791978,1093.519835165608,3694.15,2749.270531536143,1200.67,2853.68,709.3652025442093,4079.012237091855,1109.172560363936,2756.4,1667.31,5118.7,5066.37,1611.28,1283.0694684638568,2710.59,1593.8,0.0,0.0,0.0,280.08,886.3,80.4381617273209,3674.24,1039.73,109.53
