Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,4119.86,7095.56,5648.25,8020.0,18569.15,1775.0,1199.17,14099.280251301476,18385.05673430842,31737.461069751378,7042.778303923903,584.87,2440.86,1281.89,2951.64,675.7644874489989,1430.5095021957382,2963.716010355263,14804.16,6217.150147333153,3210.77,5759.23,1949.9998423064992,11212.945307392185,3049.0448503013163,6240.43,6163.75,15871.95,12121.49,4123.54,2901.5098526668467,4670.82,2936.41,0.0,0.0,0.0,623.53,2281.15,216.59364071482432,11112.77,3208.17,358.39
2,10826.0,4212.91,7654.87,6039.25,7440.0,19107.49,1707.0,1188.78,14671.260226401726,19130.90220341566,33024.98723199968,7328.4899209082605,579.03,2664.28,1300.62,3135.9,684.6787316428906,1449.3798501662175,3002.811418190892,15540.84,6662.089427298427,3274.28,5834.54,2003.1377316300288,11518.500330427587,3132.131937942384,6346.7,6447.62,16475.25,12317.48,4198.06,3109.160572701573,4925.4,3060.25,0.0,0.0,0.0,731.26,2307.21,225.38041727467757,11393.58,3223.4,356.63
3,10744.0,4333.59,7712.7,6120.0,7173.0,19470.14,1665.0,1171.49,14860.465209871614,19377.62007081791,33450.887397827246,7423.000330576372,568.39,2766.05,1306.04,3145.43,686.8992954627207,1454.0805080189118,3012.5501965183676,15616.74,6786.300705473198,3291.96,5908.02,2020.8876486191937,11620.566414789339,3159.885936591468,6343.95,6523.62,16851.81,12486.3,4240.73,3167.1292945268024,4871.31,3107.11,0.0,0.0,0.0,733.73,2311.65,228.2869909068563,11507.12,3215.89,352.25
4,10738.0,4384.21,7786.46,6206.79,7027.0,19420.64,1639.0,1153.95,15097.586842599605,19686.819873427234,33984.647877324474,7541.445744853001,555.22,2726.67,1291.27,3128.39,685.753026023913,1451.6539979628992,3007.5229760131883,15649.46,6765.669278985281,3287.17,5946.72,2039.2052935218155,11725.897064565384,3188.527641912801,6262.68,6443.38,16762.18,12454.73,4249.8,3157.5007210147187,4804.73,3118.85,0.0,0.0,0.0,734.38,2306.6,231.92966179568114,11370.22,3187.18,348.76
5,10778.0,4273.57,7847.86,6216.93,7019.0,19136.03,1628.0,1132.78,15388.538519986669,20066.212509105186,34639.57971566412,7686.779983514065,540.18,2685.06,1274.16,3098.42,685.1092491181639,1450.291202198883,3004.6995486829537,15626.74,6709.488527412106,3252.76,5938.07,2040.4165265914157,11732.861931879357,3190.4215415292288,6096.92,6267.58,16303.91,12311.3,4231.82,3131.2814725878943,4754.06,3080.63,0.0,0.0,0.0,735.83,2269.67,236.39927172995647,11205.07,3175.12,344.02
6,10930.0,4138.18,7593.53,5987.06,7137.0,18643.21,1660.0,1110.89,14941.404562866559,19483.16266379622,33633.0817736324,7463.430615601298,525.71,2592.49,1258.65,3030.23,659.5114531038561,1396.1038468201361,2892.434700076008,15404.35,6584.261359433403,3156.47,5747.55,1982.7368139602297,11401.190385529595,3100.2328005101745,5857.79,6041.35,15838.24,11846.8,4087.43,3072.838640566597,4655.44,2985.1,0.0,0.0,0.0,712.89,2188.56,229.53038410351675,11096.64,3150.56,338.93
7,11282.0,3990.54,7347.23,5792.57,7562.0,18075.87,1697.0,1090.66,14397.332737041941,18773.70862025375,32408.376818238426,7191.659490948308,512.01,2485.44,1243.11,2972.11,621.0634435319362,1314.71418510416,2723.8123713639043,15218.94,6375.96985936538,3018.25,5545.97,1904.5743923496789,10951.738575535717,2978.017032114604,5624.15,5753.03,15239.46,11293.6,3951.76,2975.63014063462,4495.53,2896.84,0.0,0.0,0.0,681.95,2110.01,221.17233351757721,10767.66,3126.53,325.5
8,11785.0,3806.26,6895.97,5518.52,8548.0,17237.78,1772.0,1069.73,13638.932873303747,17784.77696746024,30701.21973492037,6812.828656265016,493.78,2387.63,1221.42,2814.29,587.8189640636277,1244.3397504331524,2578.01128550322,14449.78,6045.907943872974,2890.78,5317.1,1828.2510723909838,10512.862020877552,2858.676906731465,5283.47,5501.08,14653.09,10439.63,3684.69,2821.5920561270254,4326.23,2758.81,0.0,0.0,0.0,645.95,1990.87,209.5217680506259,10525.96,3083.51,312.65
9,11994.0,3635.76,6561.6,5257.73,9676.0,16552.48,1815.0,1055.1,12934.033655614898,16865.60862140351,29114.4925346129,6460.722106972637,476.33,2289.01,1200.36,2692.3,562.0039100045226,1189.6924867530918,2464.7936032423854,13731.12,5738.6660496809845,2797.33,5087.53,1775.199785630524,10207.80498239687,2775.7252319726044,4956.14,5295.71,14063.72,9923.96,3484.48,2678.2039503190167,4161.99,2632.55,0.0,0.0,0.0,615.06,1933.06,198.69308139605954,10369.08,3064.98,304.38
10,11937.0,3510.91,6401.78,5024.36,10039.0,15974.37,1865.0,1043.07,12360.556593420142,16117.810993698231,27823.596431308517,6174.262675041675,465.43,2235.66,1180.95,2640.4,548.736507686042,1161.6070436164064,2406.6064486975515,13252.64,5546.81969194239,2729.39,4870.64,1721.666170706301,9899.97444660447,2692.0193826892278,4702.53,5135.07,13652.99,9534.65,3335.13,2588.67030805761,4006.98,2555.29,0.0,0.0,0.0,597.88,1866.39,189.8833065314356,10227.13,3045.58,297.38
11,11971.0,3443.26,6309.92,4826.82,10062.0,15617.66,1893.0,1038.05,11900.99622168158,15518.557460421353,26789.12664651885,5944.706147493059,456.52,2182.59,1166.66,2617.29,547.1943754294133,1158.3425411340731,2399.8430834365136,12882.8,5454.053271322897,2685.9,4753.0,1695.796060615974,9751.215393785298,2651.568545598728,4493.95,5061.44,13332.43,9164.28,3236.83,2545.376728677103,3912.38,2524.26,0.0,0.0,0.0,591.29,1819.65,182.8235238851601,10209.53,3040.44,294.86
