Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2227.41,3501.19,2220.81,8020.0,8995.8,1775.0,415.04,5694.122439017876,7424.972213299956,12817.462027400014,2844.290010456355,340.62,806.44,690.47,589.9,278.15160942680717,588.8124157547053,1219.8959748184877,4339.48,2798.299146167539,1402.52,3047.81,794.8359182271437,4570.488410342628,1242.815671430228,3129.31,1910.58,6003.34,5535.38,1795.77,1305.9508538324606,2947.73,1783.93,0.0,0.0,0.0,292.7,953.2,87.47330982579857,3869.72,1021.35,141.85
2,10826.0,2320.46,3758.21,2474.76,7440.0,9677.32,1707.0,424.35,6169.876598695721,8045.341981214386,13888.384007275838,3081.9355508002586,349.65,860.39,705.34,664.48,288.08550027266165,609.8412290657075,1263.4632706616308,4838.85,3050.8670783613147,1424.8,3208.34,810.7515448179568,4662.0069051772625,1267.701550004781,3397.7,2000.56,6181.97,5949.19,1909.48,1423.8229216386849,3157.55,1884.93,0.0,0.0,0.0,336.16,1016.18,94.78186201379656,3881.86,1083.64,139.08
3,10744.0,2386.68,3801.45,2579.65,7173.0,10063.56,1665.0,419.47,6324.759036010743,8247.304233643676,14237.024167415926,3159.301391448784,353.47,914.98,714.65,660.07,294.275355242224,622.9443833681756,1290.6102613896005,4760.29,3131.9064488951453,1424.02,3344.59,811.6981589448438,4667.45015301847,1269.1816880366864,3528.12,2039.48,6313.13,6178.63,1971.31,1461.6435511048546,3247.39,1881.94,0.0,0.0,0.0,342.08,1045.61,97.16117148087021,3907.64,1097.74,134.34
4,10738.0,2425.95,3826.95,2691.52,7027.0,10298.96,1639.0,412.17,6425.229556871068,8378.314908885206,14463.183176076518,3209.4877549997686,355.55,916.85,714.83,630.17,297.97140774665905,630.7684675371557,1306.820124716185,4672.58,3197.5642932701066,1416.27,3420.94,815.9946083238027,4692.155720094445,1275.8996715817518,3578.98,2021.86,6137.15,6290.49,1989.62,1492.2857067298937,3280.86,1869.59,0.0,0.0,0.0,344.79,1059.69,98.70460316743758,3869.62,1101.19,132.0
5,10778.0,2374.61,3832.96,2675.25,7019.0,10140.44,1628.0,405.12,6566.036614072239,8561.923269673382,14780.139674324426,3279.8227557814034,352.75,899.65,720.19,605.48,295.7135235264957,625.9888070314751,1296.9176694420291,4656.88,3241.9498142338653,1383.95,3356.01,818.7406312611384,4707.9459803504515,1280.1933883884103,3480.41,1970.89,5910.98,6089.5,1967.5,1513.0001857661348,3148.78,1832.29,0.0,0.0,0.0,343.07,1033.98,100.86768614855124,3795.13,1093.65,127.85
6,10930.0,2309.04,3637.0,2542.21,7137.0,9791.02,1660.0,400.19,6412.629566937312,8361.884883688535,14434.820615514966,3203.1938921817055,341.96,868.07,717.57,563.86,281.5371028856117,595.9790849899053,1234.7438121244832,4648.47,3158.742303044662,1330.11,3251.12,787.9510144631008,4530.898638242156,1232.0503472947423,3358.25,1890.4,5782.99,5881.4,1900.58,1474.1676969553378,3019.23,1766.46,0.0,0.0,0.0,330.46,997.69,98.51104167748349,3807.71,1082.28,123.94
7,11282.0,2229.36,3505.81,2409.85,7562.0,9387.73,1697.0,391.49,6066.494746410502,7910.535013363229,13655.67159545481,3030.2949384203043,332.16,832.08,707.24,523.56,267.50196661741796,566.2684444203556,1173.1895889622265,4446.44,3031.531081824722,1279.99,3121.8,758.4183376429502,4361.078988629493,1185.8726737275565,3192.54,1809.67,5598.84,5669.32,1822.55,1414.798918175278,2900.6,1707.29,0.0,0.0,0.0,317.29,967.36,93.19370635115335,3763.52,1068.16,118.19
8,11785.0,2149.69,3297.26,2264.74,8548.0,8947.34,1772.0,377.98,5712.215693191694,7448.5652973840315,12858.189918450598,2853.327831938837,322.17,795.3,691.35,485.87,255.82334705598268,541.5462570822365,1121.9703958617808,4160.54,2897.079088982123,1231.95,2989.07,727.7742612634048,4184.868537231219,1137.9572015053761,2983.86,1721.79,5392.12,5375.23,1712.18,1352.0509110178775,2787.07,1647.2,0.0,0.0,0.0,300.04,926.36,87.7512590348388,3718.8,1058.6,113.02
9,11994.0,2080.65,3146.59,2108.16,9676.0,8629.3,1815.0,368.91,5358.857772612064,6987.796711925631,12062.781709790508,2676.8208434811695,313.06,758.07,685.93,440.98,248.71647653537403,526.5018947349583,1090.8016287296678,3789.53,2760.7794039457935,1194.73,2853.78,705.7002301876337,4057.937807394067,1103.4419624182995,2760.47,1652.38,5090.9,5070.09,1611.85,1288.4405960542063,2715.07,1597.23,0.0,0.0,0.0,286.42,885.06,82.32296219062954,3631.68,1052.01,108.95
