Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2602.92,4847.17,2890.99,8020.0,10846.87,1775.0,448.18,7777.823091175065,10142.058052039074,17507.869420553994,3885.1262434640726,364.55,1128.94,801.69,1244.31,394.55393806630343,835.2216904194644,1730.4043715142323,7337.21,4036.491547799399,1718.14,3440.57,1070.2861953907739,6154.3905347082045,1673.5132699010219,4168.37,3048.15,7928.75,6878.78,2211.85,1883.808452200601,3441.95,2379.21,0.0,0.0,0.0,375.21,1124.94,119.4831927677962,5774.16,1329.58,172.48
2,10826.0,2671.6,5245.85,3227.04,7440.0,11215.2,1707.0,440.68,8224.31008575631,10724.264276768123,18512.911050772283,4108.152444970403,365.65,1196.65,816.15,1359.1,398.22066739904807,842.9837010753838,1746.4856315255684,7821.2,4345.942490961014,1754.12,3539.88,1100.2386540791372,6326.624026120843,1720.3473198000183,4285.35,3192.03,8190.11,6969.61,2255.3,2028.2275090389853,3621.25,2383.56,0.0,0.0,0.0,428.19,1142.46,126.34214173288575,5809.39,1340.8,168.74
3,10744.0,2711.9,5243.47,3235.66,7173.0,11501.88,1665.0,431.89,8376.509995471159,10922.728590207513,18855.512844856687,4184.1783273483325,345.47,1238.45,808.77,1334.36,397.81814022402483,842.1316010324584,1744.720258743517,7712.77,4385.0576574386005,1765.12,3635.06,1108.8327556504312,6376.042076724944,1733.7851676246241,4313.15,3264.0,8386.42,7096.14,2261.16,2046.4823425613995,3574.19,2321.07,0.0,0.0,0.0,434.38,1152.99,128.68024211631231,5859.28,1322.74,163.83
4,10738.0,2705.69,5256.99,3269.44,7027.0,11513.85,1639.0,424.02,8495.858804317706,11078.356011090458,19124.166854634157,4243.794647228635,335.08,1208.64,798.48,1288.35,396.23468895274146,838.7796313271759,1737.7756797200827,7561.38,4315.493069052543,1755.19,3717.76,1117.2199733210582,6424.270497559429,1746.8995291195122,4269.77,3227.97,8513.2,7085.3,2257.33,2014.0169309474566,3520.56,2266.84,0.0,0.0,0.0,438.04,1155.73,130.51368272904608,5870.65,1302.18,160.56
5,10778.0,2617.3,5240.25,3322.3,7019.0,11425.45,1628.0,415.9,8626.338130258207,11248.49730676752,19417.875643567677,4308.970808668475,326.9,1176.85,787.72,1240.76,391.5323185107484,828.8252970508823,1717.1523844383696,7458.05,4251.778369604567,1734.67,3671.02,1108.0256678751564,6371.401137333013,1732.5231947918307,4117.81,3132.94,8239.18,7035.21,2251.96,1984.2816303954328,3456.26,2204.1,0.0,0.0,0.0,439.51,1143.5,132.51811073811842,5743.81,1288.22,157.54
6,10930.0,2509.29,4984.97,3197.01,7137.0,11128.43,1660.0,408.35,8414.852388132756,10972.725969637399,18941.821519677607,4203.330863246943,322.85,1125.04,778.32,1183.84,378.2116013346488,800.6269929813591,1658.7314056839923,7170.31,4147.005358752021,1669.93,3559.84,1074.4780000060234,6178.494370447224,1680.0676295467536,3935.48,3003.58,7936.2,6796.1,2167.29,1935.3846412479797,3327.28,2123.15,0.0,0.0,0.0,423.22,1104.48,129.26925930529447,5693.1,1275.9,155.41
7,11282.0,2421.83,4828.3,3080.69,7562.0,10772.87,1697.0,404.42,8094.57831713968,10555.097774383097,18220.885012379276,4043.349698372147,307.42,1071.81,768.28,1146.93,352.79107722192407,746.8149002042982,1547.2440225737778,7090.09,4008.0125430274143,1573.91,3475.12,1031.4677993081473,5931.175874505805,1612.8163261860464,3823.34,2827.12,7525.15,6486.18,2101.89,1870.5174569725857,3219.32,2053.5,0.0,0.0,0.0,409.28,1066.74,124.34919772580034,5450.25,1274.11,145.84
8,11785.0,2312.21,4503.88,2905.68,8548.0,10354.45,1772.0,395.74,7572.424319765891,9874.223949999268,17045.51705964027,3782.526821000672,312.22,1025.72,767.19,1020.04,334.0655663547015,707.1753190683435,1465.1191145769553,6493.06,3769.3602557318004,1503.64,3354.89,992.3667420821685,5706.3358480484085,1551.677409869422,3593.18,2667.38,7117.72,6114.97,1973.24,1759.1397442681998,3101.22,1938.16,0.0,0.0,0.0,385.99,1013.67,116.32784959389492,5204.12,1258.35,139.68
9,11994.0,2200.7,4261.55,2738.61,9676.0,9948.65,1815.0,385.41,7086.74283552064,9240.90923580825,15952.248685383376,3539.92244979213,301.61,986.89,757.03,921.36,320.1570528733528,677.7327232142835,1404.1202239123638,5985.41,3593.120419880464,1467.34,3228.53,956.7345986324824,5501.442869588525,1495.9625317789926,3369.52,2541.0,6732.3,5779.81,1841.79,1676.889580119536,2994.77,1815.49,0.0,0.0,0.0,362.63,975.63,108.86679349560593,5062.77,1245.61,136.49
