Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,3206.71,6342.85,4362.02,8020.0,14410.76,1775.0,815.98,11605.103565148609,15132.721929765685,26123.072670701637,5796.90382392917,426.94,1834.12,955.12,2246.36,508.47179434075576,1076.3716456139823,2230.0165600452624,11666.27,5365.691312537902,2950.68,4915.93,1660.8278701498225,9550.140296911622,2596.8918329385556,5491.53,4805.44,12271.15,8839.51,3006.74,2504.1386874620976,4195.27,2790.81,0.0,0.0,0.0,525.7,1617.65,178.27801045490247,8728.62,2384.61,336.61
2,10826.0,3332.98,6737.76,4834.93,7440.0,15087.25,1707.0,832.41,12186.870821095961,15891.329732158129,27432.629989103105,6087.504318074333,432.95,1946.1,981.42,2398.29,520.206394502691,1101.2123369315811,2281.481268565728,12485.36,5631.418085816172,3004.86,5039.04,1675.4119823334386,9634.002279217391,2619.69573844917,5680.95,5008.71,12629.36,9245.67,3083.21,2628.151914183828,4425.48,2871.48,0.0,0.0,0.0,613.64,1692.52,187.21513956847397,8844.4,2436.31,333.26
3,10744.0,3421.33,6708.74,4866.65,7173.0,15621.7,1665.0,821.82,12451.399601621313,16236.267668785573,28028.08392179426,6219.639967770028,425.12,2004.36,996.81,2397.79,523.5065841893052,1108.1984286742406,2295.9549871364543,12499.36,5676.458139807967,3015.16,5115.01,1678.6018434065065,9652.34471031635,2624.6834462771412,5761.44,5121.93,12867.35,9489.57,3092.34,2649.1718601920325,4365.43,2824.71,0.0,0.0,0.0,618.43,1707.94,191.27884002882547,8915.92,2419.1,326.53
4,10738.0,3412.83,6679.36,4948.1,7027.0,15773.33,1639.0,817.25,12633.752305030172,16474.050359679804,28438.55961432958,6310.727572267516,420.43,1957.68,996.6,2355.34,525.8764296104683,1113.2150971388805,2306.3484732506513,12439.09,5731.132101806183,3010.9,5184.03,1686.1314551400683,9695.641700768649,2636.4568440912817,5717.07,5087.86,13023.02,9581.92,3106.08,2674.687898193817,4277.33,2729.11,0.0,0.0,0.0,619.28,1720.21,194.0801486929234,8908.08,2423.06,320.85
5,10778.0,3393.61,6531.56,4985.03,7019.0,15709.34,1628.0,818.87,12794.632952957054,16683.83410657107,28800.701738569183,6391.08959901963,406.56,1898.54,994.67,2311.27,526.9507239914906,1115.4892449355623,2311.0600310729474,12398.82,5659.092560407861,2978.19,5107.94,1684.6748481417708,9687.265877216298,2634.179274641933,5550.37,4947.6,12673.23,9464.82,3118.85,2641.067439592139,4145.61,2581.11,0.0,0.0,0.0,621.32,1707.05,196.5516028830638,8729.33,2416.48,316.11
6,10930.0,3310.39,6250.22,4782.0,7137.0,15379.59,1660.0,816.69,12512.066146767298,16315.375102250515,28164.64423412859,6249.943715217613,395.98,1821.85,993.03,2251.66,511.7799812560128,1083.3746664965674,2244.52535224742,12070.95,5514.5021236830635,2892.51,4968.33,1629.9023354403005,9372.311395710498,2548.536268849201,5317.87,4759.05,12245.26,9207.41,3049.85,2573.5878763169367,3961.82,2470.44,0.0,0.0,0.0,605.1,1675.59,192.21080163598242,8612.29,2389.76,309.81
7,11282.0,3200.19,6094.04,4614.2,7562.0,14996.5,1697.0,811.86,12004.859350977418,15653.99199967952,27022.922412249864,5996.587164150973,390.05,1747.37,995.32,2216.15,484.2321943242912,1025.0594224992785,2123.7083831764303,11907.41,5295.404010600055,2774.27,4826.9,1561.7184535967829,8980.238472744137,2441.923073659079,5095.27,4497.22,11775.33,8856.02,2973.61,2471.335989399945,3818.44,2399.45,0.0,0.0,0.0,591.01,1632.36,184.41907294222233,8302.76,2367.67,295.31
8,11785.0,3092.23,5737.51,4371.87,8548.0,14475.84,1772.0,803.79,11303.735396396462,14739.74648834828,25444.69332417076,5646.366409071771,384.97,1678.61,994.93,2053.72,462.871596619251,979.8416897578156,2030.0267136229334,11174.35,4974.873732328438,2665.84,4625.79,1483.8062171684337,8532.225284797236,2320.0984980343296,4825.61,4257.14,11267.32,8437.83,2840.98,2321.7462676715622,3670.5,2293.7,0.0,0.0,0.0,561.75,1576.11,173.6483820127299,8038.38,2338.12,283.42
9,11994.0,2993.0,5428.97,4114.17,9676.0,13969.97,1815.0,797.44,10669.333398529527,13912.504493348886,24016.655271801686,5329.474160183336,380.04,1614.88,992.84,1925.46,446.53059275903684,945.2498138430312,1958.3595933979318,10505.49,4723.621684243111,2584.98,4422.55,1432.6674036757636,8238.165405233354,2240.137191090882,4524.75,4067.23,10701.41,8076.55,2705.78,2204.4883157568884,3529.22,2180.68,0.0,0.0,0.0,527.94,1532.09,163.90267613656835,7869.99,2312.25,275.3
10,11937.0,2930.66,5273.04,3960.92,10039.0,13571.61,1865.0,796.45,10160.19360491011,13248.600817093993,22870.582274382836,5075.152050951119,380.35,1555.65,989.15,1851.85,436.81395995797965,924.680908833343,1915.7451312086773,10111.51,4574.060887336658,2520.85,4249.47,1392.8266162235643,8009.071760704366,2177.8416230720695,4305.26,3951.85,10319.78,7752.62,2600.67,2134.689112663342,3390.06,2111.95,0.0,0.0,0.0,506.04,1492.43,156.08125266194492,7772.53,2307.82,267.82
11,11971.0,2879.38,5155.53,3816.57,10062.0,13370.52,1893.0,803.8,9741.050639829753,12702.050421936246,21927.09201815716,4865.784556433959,373.55,1502.84,980.57,1813.61,436.5007351694682,924.017850852921,1914.3714139776107,9799.2,4481.9694539023285,2474.5,4140.26,1370.3364117197084,7879.747938423684,2142.6756498566074,4135.9,3859.65,10021.74,7488.21,2538.48,2091.710546097672,3267.23,2087.54,0.0,0.0,0.0,494.96,1465.02,149.64236364288445,7691.16,2312.06,262.76
12,11985.0,2877.95,5072.46,3740.46,10176.0,13240.24,1905.0,805.29,9458.730389485601,12333.912919361088,21291.58951059669,4724.761830561224,369.71,1478.65,977.09,1774.37,437.0338837456579,925.146460181299,1916.709656073043,9526.09,4411.84578522149,2477.84,4125.6,1356.1492279501617,7798.1683853270615,2120.4923867227762,4032.12,3840.46,9841.16,7295.08,2471.19,2058.9842147785102,3293.76,2089.37,0.0,0.0,0.0,488.75,1431.44,145.305349995403,7652.35,2305.78,263.54
13,11992.0,2923.65,5153.19,3721.52,10155.0,13266.38,1907.0,807.44,9451.8426053828,12324.93144660173,21276.085117753704,4721.3212906487815,374.88,1489.83,984.63,1760.86,441.2844107693303,934.1442980517922,1935.3512911788778,9440.65,4404.298201241938,2517.41,4162.9,1359.3787818646367,7816.739059346937,2125.5421587884257,3999.14,3853.82,9853.79,7278.55,2418.69,2055.4617987580623,3371.23,2099.57,0.0,0.0,0.0,482.2,1417.36,145.19953961297972,7724.56,2298.28,267.63
14,11996.0,2992.67,5298.43,3738.83,10207.0,13512.17,1922.0,818.68,9582.728255356858,12495.602577155203,21570.708541545664,4786.7004163560805,383.43,1507.03,996.75,1799.71,445.84283109575216,943.7939078094238,1955.3432610948241,9590.57,4445.64968889865,2560.57,4261.67,1365.032004731688,7849.246384446906,2134.3816108214064,4072.54,3827.73,9962.42,7433.41,2438.17,2074.7603111013495,3458.93,2134.36,0.0,0.0,0.0,482.92,1432.79,147.21020958619275,7642.15,2313.75,268.7
15,11982.0,3071.18,5305.26,3732.23,10144.0,13883.0,1918.0,836.98,9633.520731998087,12561.834508720562,21685.042338825027,4812.071935051752,391.49,1534.09,1005.44,1774.68,457.66540077275863,968.8208196662049,2007.1937795610363,9395.86,4435.054435507302,2620.32,4381.61,1384.7340878300492,7962.537870646369,2165.1880415235814,4215.23,3867.29,10151.26,7661.32,2475.19,2069.8155644926987,3533.65,2142.84,0.0,0.0,0.0,478.72,1445.55,147.99048540457227,7707.06,2324.68,276.37
16,12042.0,3178.25,5596.3,3807.24,10127.0,14367.07,1900.0,861.41,9847.996703419025,12841.505019018834,22167.827464877173,4919.205539839623,407.89,1568.31,1016.48,1844.98,466.8888711408404,988.3457610471436,2047.6453678120163,9698.15,4504.919018197876,2671.98,4534.44,1399.5010276468126,8047.451153678775,2188.277818674412,4456.51,3948.19,10534.05,7943.15,2595.07,2102.420981802125,3617.85,2181.49,0.0,0.0,0.0,489.64,1487.07,151.28527284534402,7639.14,2345.05,278.8
17,12330.0,3295.07,5596.62,3905.53,10275.0,14768.21,1896.0,858.54,10010.374438440414,13053.240924508138,22533.339530172852,5000.315381538344,415.36,1617.86,1022.89,1841.4,484.80399617225464,1026.2698560039637,2126.2161478237817,9762.55,4442.1179377682,2758.41,4695.71,1423.4285941349508,8185.040136277427,2225.6912695876213,4670.57,4027.73,10691.31,8133.06,2610.34,2073.1120622317994,3684.43,2212.22,0.0,0.0,0.0,494.29,1511.3,153.77972534025514,7694.51,2360.91,283.83
18,12675.0,3454.4,5448.28,4128.52,10848.0,15458.57,1920.0,858.92,9995.553473449456,13033.914811588946,22499.977557715196,4992.912112093302,433.85,1652.55,1052.7,1876.87,483.2885213444355,1023.0617839880495,2119.5696946675153,10020.78,4428.5227413316825,2802.72,4915.62,1430.6226209366175,8226.407436580173,2236.939942483208,4934.27,4021.6,10805.26,8540.31,2763.49,2066.767258668318,3761.83,2240.38,0.0,0.0,0.0,496.52,1566.94,153.55204515310498,7746.03,2390.62,286.08
19,12543.0,3521.27,5208.08,4277.67,11268.0,15824.23,2050.0,869.78,9915.82914766165,12929.956579211941,22320.518206535256,4953.088749343881,444.12,1681.9,1068.13,1870.09,484.36948008266006,1025.3500394013358,2124.310480516004,9930.44,4477.264997763312,2821.41,5063.98,1444.7568809176214,8307.682665782244,2259.0404533001347,5105.14,4042.64,11006.57,8927.84,2898.66,2089.515002236688,3756.47,2263.15,0.0,0.0,0.0,503.74,1604.61,152.32731724727293,7824.59,2395.89,294.37
