Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2358.16,4668.55,3025.92,8020.0,10242.0,1775.0,417.7,7305.380669615376,9526.006695568793,16444.402158771914,3649.134960426294,330.03,1009.31,737.15,1062.69,360.6310270347936,763.411100378096,1581.6278725871105,6558.27,3581.5229127899333,1799.92,3801.68,1026.840576250797,5904.5682830888745,1605.581140660328,3795.81,2726.07,8727.14,6541.48,2074.13,1671.4770872100667,3262.0,2167.4,0.0,0.0,0.0,378.4,1095.78,112.22551561762428,5554.59,1347.4,178.72
2,10826.0,2430.95,5086.85,3204.61,7440.0,10776.08,1707.0,438.1,7786.144844075898,10152.909378949651,17526.60167525174,3889.2830698932225,339.13,1069.83,746.57,1158.1,371.87646337807473,787.2162926369081,1630.9472439850174,7188.86,3860.8857908189734,1826.96,3900.83,1048.1087223646693,6026.864989986244,1638.8362876490862,3994.41,2841.28,8926.57,6886.0,2161.45,1801.8542091810266,3532.84,2299.04,0.0,0.0,0.0,410.07,1152.02,119.61103182949256,5529.05,1398.4,174.87
3,10744.0,2486.37,5022.22,3245.77,7173.0,11036.36,1665.0,432.06,7899.941215279438,10301.296580526297,17782.757155288953,3946.1258732060783,340.87,1137.98,749.42,1129.72,376.6508088778535,797.3229891725326,1651.8862019496141,6959.48,3918.750601328869,1825.96,3998.19,1057.81662912211,6082.687675280254,1654.0156955976367,4085.27,2867.51,8973.27,7043.73,2178.94,1828.8593986711307,3632.33,2280.21,0.0,0.0,0.0,416.37,1164.32,121.35917569923622,5489.72,1393.22,170.18
4,10738.0,2522.17,4967.34,3260.8,7027.0,11157.04,1639.0,420.12,7992.884879285159,10422.492450484408,17991.9732191933,3992.55247149192,342.58,1114.87,751.29,1082.64,382.24087169920244,809.1564579805755,1676.4026703202223,6744.99,3950.2022769365217,1804.75,4059.22,1061.694499446232,6104.986317008402,1660.0791835453665,4103.46,2842.79,8627.04,7117.07,2176.6,1843.537723063478,3702.8,2249.96,0.0,0.0,0.0,416.09,1166.61,122.78697954521736,5378.41,1377.36,166.45
5,10778.0,2474.31,4937.03,3172.0,7019.0,10918.92,1628.0,408.06,8078.1478355886165,10533.672898069966,18183.90002028821,4035.1424539647473,345.45,1093.5,746.39,1041.26,378.3475542215772,800.9147883600955,1659.3276574183276,6700.87,3911.6461907537173,1768.86,3950.05,1057.167109899087,6078.952791119832,1653.0000989810817,3995.75,2774.7,8313.83,6929.43,2155.89,1825.5438092462823,3583.88,2206.59,0.0,0.0,0.0,415.1,1145.22,124.09679208846192,5276.73,1362.42,163.06
6,10930.0,2392.45,4685.29,3029.92,7137.0,10433.54,1660.0,399.07,7759.262367117982,10117.85540064573,17466.089255418705,3875.854914547671,340.81,1057.84,738.52,983.36,363.54201826078935,769.5733073110397,1594.3946744281714,6546.71,3807.92315996698,1700.4,3803.15,1020.2924602320255,5866.915117590102,1595.3424221778712,3826.34,2676.37,7935.95,6670.92,2077.57,1777.1368400330202,3429.76,2116.99,0.0,0.0,0.0,404.57,1098.69,119.19806226991452,5258.06,1349.37,161.4
7,11282.0,2309.26,4525.52,2904.53,7562.0,10003.91,1697.0,392.67,7410.823728769847,9663.501418011452,16681.75434451073,3701.805173095052,337.18,1009.6,731.78,954.1,343.381004852176,726.8949455584273,1505.9740495893968,6493.33,3691.0276519909976,1612.92,3652.87,974.1080350349691,5601.3441044276615,1523.1278605373698,3662.96,2525.71,7507.48,6369.88,2010.48,1722.582348009002,3279.22,2053.06,0.0,0.0,0.0,394.45,1058.71,113.84533561292278,5076.71,1337.34,152.91
8,11785.0,2205.27,4154.69,2709.59,8548.0,9556.96,1772.0,378.98,6879.854866804017,8971.133263226257,15486.544143313746,3436.5791534358623,330.37,966.57,724.85,829.47,327.41986935249696,693.1072037901122,1435.972926857391,5867.58,3486.3429016295536,1542.5,3496.56,932.7889899437047,5363.750140207639,1458.5208698486567,3380.57,2385.51,7110.65,5983.57,1875.24,1627.0570983704463,3115.12,1945.57,0.0,0.0,0.0,369.78,1005.45,105.68857322012119,4916.03,1314.21,145.74
9,11994.0,2107.44,3850.9,2535.07,9676.0,9175.18,1815.0,364.21,6400.792913901546,8346.450227895606,14408.176325294256,3197.2813263127014,319.0,922.76,721.43,731.77,317.39534324869015,671.8865268932857,1392.0081298580242,5327.03,3313.3893670231528,1489.31,3334.6,899.149908257998,5170.317722958531,1405.9223687834717,3111.01,2279.59,6755.44,5624.14,1742.15,1546.3406329768468,3007.91,1858.99,0.0,0.0,0.0,348.21,954.12,98.32920659589071,4825.72,1296.89,140.5
