Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2650.87,5424.01,3117.15,8020.0,11573.9,1775.0,462.35,8387.91665511219,10937.602546956474,18881.189220518467,4189.876105788668,364.41,1217.38,827.51,1367.2,403.6427884188972,854.4616579449876,1770.265553636115,7670.54,4424.602361215836,2181.54,4011.94,1180.4386415485783,6787.792306055009,1845.749052396412,4517.55,3324.11,8704.79,7178.7,2309.09,2064.9376387841644,3714.02,2450.55,0.0,0.0,0.0,398.33,1151.69,128.85547162420283,6201.7,1401.31,241.03
2,10826.0,2756.93,5782.47,3469.79,7440.0,12145.15,1707.0,476.64,8834.324751822844,11519.705891126994,19886.05325173512,4412.862896757627,369.35,1289.61,850.38,1489.5,412.7516318430982,873.743948320325,1810.214419836577,8322.53,4649.54354518455,2220.88,4115.77,1190.2848718442553,6844.410383346146,1861.1447448095994,4677.58,3457.76,8958.56,7525.62,2374.92,2169.9164548154504,3920.63,2520.63,0.0,0.0,0.0,463.73,1216.58,135.71320855742042,6260.53,1441.95,238.17
3,10744.0,2830.83,5754.82,3487.26,7173.0,12593.17,1665.0,467.22,9011.07373397281,11750.181490351886,20283.914975179116,4501.151367838376,362.23,1326.54,863.54,1480.23,415.5666563253798,879.7030055741606,1822.5603381004596,8282.44,4682.924729614437,2228.37,4177.89,1192.4703837483898,6856.97757690075,1864.5620393508602,4740.37,3529.35,9121.96,7736.09,2379.93,2185.495270385564,3865.73,2476.56,0.0,0.0,0.0,466.24,1229.13,138.42843265781144,6294.28,1427.06,232.78
4,10738.0,2825.22,5728.63,3540.97,7027.0,12724.38,1639.0,463.29,9128.420509353049,11903.198317062222,20548.06241029003,4559.767645332903,358.47,1295.55,863.43,1440.76,417.57795932905543,883.9606842654664,1831.3813564054783,8196.92,4729.082944195795,2224.82,4234.85,1197.8217004580729,6887.748872511337,1872.9294270305902,4701.32,3503.98,9229.44,7823.47,2392.99,2207.0370558042046,3786.75,2391.7,0.0,0.0,0.0,465.93,1240.22,140.23111796179387,6282.14,1429.75,228.83
5,10778.0,2809.76,5603.1,3565.44,7019.0,12672.87,1628.0,464.75,9239.20100945316,12047.652909289196,20797.429168489638,4615.103980854773,346.55,1256.32,861.8,1405.0,418.5562869663636,886.03168238304,1835.6720306505968,8150.7,4668.531821049998,2200.52,4171.0,1196.7572106203409,6881.627812359534,1871.2649770201244,4562.04,3407.0,8976.41,7725.81,2405.14,2178.7781789500023,3668.35,2259.26,0.0,0.0,0.0,467.0,1229.1,141.93293191323133,6154.91,1424.52,225.34
6,10930.0,2739.78,5361.66,3414.89,7137.0,12396.67,1660.0,462.93,9026.11561300143,11769.795668834953,20317.77422484136,4508.664986788056,337.48,1206.73,860.47,1357.94,406.8710030477259,861.2953874283162,1784.4236095239582,7897.63,4548.009109210311,2137.25,4054.26,1158.186594093164,6659.837941299816,1810.9554646070203,4368.71,3281.46,8668.01,7505.97,2346.45,2122.5308907896892,3503.51,2161.84,0.0,0.0,0.0,454.75,1202.16,138.6595065342031,6095.41,1403.95,221.73
7,11282.0,2649.08,5255.75,3297.11,7562.0,12084.01,1697.0,459.11,8669.589942917477,11304.896428951715,19515.235416265514,4330.575665254964,332.91,1156.07,862.92,1339.76,384.92794052319846,814.8446489956004,1688.1874104812011,7828.11,4370.71247524079,2048.21,3937.69,1108.992729829435,6376.961964860752,1734.0353053098127,4188.67,3096.08,8327.71,7209.6,2286.16,2039.7875247592103,3376.04,2102.5,0.0,0.0,0.0,445.25,1166.38,133.18254661033413,5860.44,1388.48,210.95
8,11785.0,2558.93,4949.24,3111.07,8548.0,11649.16,1772.0,452.08,8132.551862256254,10604.614187201872,18306.36341186754,4062.3179900085515,329.06,1109.5,862.84,1207.67,367.9938088719732,778.9971952029955,1613.9189959250311,7232.95,4102.606201683511,1966.54,3768.92,1052.912758988287,6054.489299869068,1646.3479411426447,3962.36,2926.65,7955.23,6860.41,2174.51,1914.6637983164892,3244.48,2012.31,0.0,0.0,0.0,422.3,1118.67,124.93254866578098,5660.9,1365.55,202.11
9,11994.0,2477.01,4680.79,2915.6,9676.0,11229.0,1815.0,446.72,7648.32604372345,9973.197619315666,17216.37173919086,3820.440743214494,325.24,1067.18,861.25,1103.17,355.07028738513503,751.6397050831139,1557.240007531751,6697.31,3893.0738160831675,1906.11,3598.58,1016.3075395174425,5844.0009116207,1589.1115488618575,3710.93,2795.27,7546.81,6558.8,2060.35,1816.8761839168321,3118.73,1914.97,0.0,0.0,0.0,396.36,1081.52,117.4938545555299,5540.3,1345.67,196.3
10,11937.0,2426.0,4548.57,2801.05,10039.0,10897.71,1865.0,446.02,7268.908156486838,9478.447585375981,16362.302580289808,3630.916454263362,325.86,1028.07,858.23,1045.65,347.3756205592772,735.351050951299,1523.4933284894237,6395.91,3769.346619627049,1858.36,3453.96,987.7563584120818,5679.825086961562,1544.468554626355,3528.7,2715.3,7271.63,6284.76,1971.65,1759.1333803729503,2994.33,1855.91,0.0,0.0,0.0,379.92,1047.88,111.66522358400789,5469.97,1342.75,190.95
11,11971.0,2383.59,4453.03,2693.99,10062.0,10731.64,1893.0,452.55,6957.871053693477,9072.864131511164,15662.158476108225,3475.5492780512122,320.13,992.99,850.88,1015.33,347.3049783729321,735.201510215289,1523.183511411779,6159.05,3693.202610698746,1823.63,3362.72,971.6530929346178,5587.227625591696,1519.289281473686,3388.06,2650.83,7054.97,6059.7,1919.29,1723.5973893012542,2884.26,1835.7,0.0,0.0,0.0,371.54,1024.59,106.88706063592501,5410.55,1346.38,187.25
