Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2099.01,4079.08,2642.28,8020.0,8857.38,1775.0,383.42,6804.298321030304,8872.609696353411,15316.466459395322,3398.8376523230363,297.0,948.16,671.02,880.77,297.4929068995288,629.7555406649365,1304.7215524355345,5951.97,3214.3844284801826,1448.84,3106.51,898.7265179496573,5167.883131802107,1405.2603502482357,3239.48,2440.15,6987.38,5604.36,1900.3,1500.135571519818,3010.74,1936.41,0.0,0.0,0.0,323.51,947.9,104.5278708979261,4680.54,1128.67,143.9
2,10826.0,2231.81,4595.33,2880.86,7440.0,9282.19,1707.0,377.46,7445.317877793254,9708.48079819921,16759.400628026768,3719.035460033419,295.8,1007.36,677.88,1019.0,307.0949127567053,650.0817946690236,1346.8332925742714,6686.74,3526.2489621826844,1475.43,3189.17,928.3530142131334,5338.242264682387,1451.5847211044797,3468.3,2548.5,7162.01,5780.34,1971.71,1645.6810378173159,3314.35,2119.16,0.0,0.0,0.0,388.5,970.21,114.37523594734942,4652.83,1216.01,138.17
3,10744.0,2251.09,4546.79,2910.37,7173.0,9384.85,1665.0,365.18,7571.37892298053,9872.860782598793,17043.163872868572,3782.0046313805137,293.05,1061.61,683.84,981.25,306.8469986687771,649.5569913313278,1345.7460099998953,6494.07,3569.468596190252,1478.22,3206.02,928.0487024290134,5336.492402288708,1451.1088952822786,3508.62,2550.95,7212.54,5806.12,1962.55,1665.8514038097478,3412.81,2101.94,0.0,0.0,0.0,392.43,964.44,116.3117901715913,4604.39,1222.55,133.72
4,10738.0,2217.19,4483.88,2930.63,7027.0,9410.85,1639.0,351.33,7707.696691344939,10050.615239606812,17350.014987923292,3850.097172585769,287.86,1052.94,683.38,915.71,309.3381353910234,654.8304184181738,1356.671446190803,6251.18,3556.0574871678687,1462.35,3238.2,930.4338813535586,5350.207726900035,1454.8383917464064,3495.55,2519.74,7000.19,5741.11,1941.43,1659.5925128321308,3485.24,2072.75,0.0,0.0,0.0,391.32,955.82,118.40590853918968,4527.45,1214.48,128.6
5,10778.0,2169.76,4460.46,2967.06,7019.0,9221.39,1628.0,338.95,7835.248906286428,10216.939666562543,17637.134853896052,3913.8112030891652,284.4,1034.6,673.38,861.98,308.3584748822748,652.7565987772792,1352.3749263404459,6123.81,3483.9497652457935,1427.59,3268.27,929.8312718521986,5346.742584373422,1453.8961437743803,3423.8,2442.51,6648.27,5670.83,1918.92,1625.9402347542066,3359.11,2046.49,0.0,0.0,0.0,392.8,951.37,120.36537016581184,4408.12,1205.35,124.11
6,10930.0,2079.67,4225.38,2825.23,7137.0,9000.45,1660.0,329.59,7470.362034366346,9741.137659489466,16815.77499112164,3731.545349858239,274.27,1004.84,659.62,794.71,293.59025932182027,621.49412038121,1287.6056202969698,5750.37,3374.404117730477,1352.83,3139.14,896.79840810798,5156.7960590073735,1402.2455328846468,3245.18,2343.83,6287.63,5445.9,1866.09,1574.8158822695234,3245.52,1973.93,0.0,0.0,0.0,380.43,913.51,114.7599651643105,4393.81,1195.97,122.57
7,11282.0,1974.52,4178.63,2701.09,7562.0,8550.04,1697.0,323.75,7119.771456597777,9283.977609621379,16026.596067443992,3556.420685998841,262.38,969.08,650.37,761.3,275.79242697716774,583.8183194766327,1209.5492535461995,5638.81,3248.3451473619766,1280.28,3015.1,860.3170784148601,4947.020065330345,1345.202856254795,3040.97,2231.25,5956.71,5105.01,1798.49,1515.9848526380233,3152.71,1922.96,0.0,0.0,0.0,370.86,875.08,109.37418033801067,4234.91,1195.81,115.17
8,11785.0,1879.65,3863.97,2550.67,8548.0,8057.06,1772.0,317.41,6698.086007637548,8734.111888465119,15077.382683390542,3345.7831869149168,256.19,929.59,644.49,696.16,261.4893835494387,553.5405527195732,1146.820063730988,5194.46,3089.743613005762,1209.13,2891.31,823.3113220898182,4734.228498516383,1287.3401793937987,2829.45,2109.7,5593.33,4782.34,1688.77,1441.9663869942378,3075.1,1850.55,0.0,0.0,0.0,352.29,826.84,102.89623359187588,4091.47,1181.45,109.31
9,11994.0,1810.29,3617.53,2369.32,9676.0,7650.24,1815.0,311.57,6231.892297428852,8126.20867223013,14027.981262538175,3112.9132184368787,249.75,886.86,638.5,615.04,254.38784451459193,538.5074764655789,1115.6746790198292,4686.64,2934.80337277513,1156.69,2768.03,789.3643201798636,4539.025469517149,1234.2602103029876,2589.76,2016.84,5269.04,4429.89,1567.03,1369.6566272248701,3039.3,1773.58,0.0,0.0,0.0,330.9,773.86,95.73454936596423,3996.73,1168.14,105.93
