BA,Month,Hour,Transportation_Load_Penetration_Percentage
AVA,1,1,12.83
AVA,1,1,13.32
AVA,1,1,13.22
AVA,1,1,12.63
AVA,1,1,12.46
AVA,1,1,12.74
AVA,1,1,13.1
AVA,1,1,13.0
AVA,1,1,12.98
AVA,1,1,13.08
AVA,1,1,13.03
AVA,1,1,12.75
AVA,1,1,12.29
AVA,1,1,11.98
AVA,1,1,11.64
AVA,1,1,12.16
AVA,1,1,11.59
AVA,1,1,11.06
AVA,1,1,10.72
AVA,1,1,10.79
AVA,1,1,10.93
AVA,1,1,11.15
AVA,1,1,11.75
AVA,1,1,12.69
AVA,2,2,13.77
AVA,2,2,14.13
AVA,2,2,13.87
AVA,2,2,13.15
AVA,2,2,12.99
AVA,2,2,13.28
AVA,2,2,13.43
AVA,2,2,13.31
AVA,2,2,13.3
AVA,2,2,13.36
AVA,2,2,13.27
AVA,2,2,12.97
AVA,2,2,12.45
AVA,2,2,12.1
AVA,2,2,11.9
AVA,2,2,12.19
AVA,2,2,11.51
AVA,2,2,11.22
AVA,2,2,10.86
AVA,2,2,11.02
AVA,2,2,11.33
AVA,2,2,11.54
AVA,2,2,12.08
AVA,2,2,12.58
AVA,3,3,13.27
AVA,3,3,14.05
AVA,3,3,13.79
AVA,3,3,13.22
AVA,3,3,13.18
AVA,3,3,13.44
AVA,3,3,13.62
AVA,3,3,13.57
AVA,3,3,13.58
AVA,3,3,13.6
AVA,3,3,13.5
AVA,3,3,13.14
AVA,3,3,12.55
AVA,3,3,12.1
AVA,3,3,11.74
AVA,3,3,11.61
AVA,3,3,11.45
AVA,3,3,11.24
AVA,3,3,10.86
AVA,3,3,10.88
AVA,3,3,11.24
AVA,3,3,11.39
AVA,3,3,11.95
AVA,3,3,12.46
AVA,4,4,14.31
AVA,4,4,15.3
AVA,4,4,15.26
AVA,4,4,14.58
AVA,4,4,14.44
AVA,4,4,14.85
AVA,4,4,15.16
AVA,4,4,15.2
AVA,4,4,15.36
AVA,4,4,15.36
AVA,4,4,15.24
AVA,4,4,14.79
AVA,4,4,13.99
AVA,4,4,13.34
AVA,4,4,12.27
AVA,4,4,12.71
AVA,4,4,12.57
AVA,4,4,12.28
AVA,4,4,11.83
AVA,4,4,11.71
AVA,4,4,11.91
AVA,4,4,12.05
AVA,4,4,12.77
AVA,4,4,13.53
AVA,5,5,14.4
AVA,5,5,15.12
AVA,5,5,14.99
AVA,5,5,14.72
AVA,5,5,14.95
AVA,5,5,15.31
AVA,5,5,15.83
AVA,5,5,15.88
AVA,5,5,16.19
AVA,5,5,16.43
AVA,5,5,16.43
AVA,5,5,16.04
AVA,5,5,15.39
AVA,5,5,13.93
AVA,5,5,13.49
AVA,5,5,14.03
AVA,5,5,13.6
AVA,5,5,13.06
AVA,5,5,12.43
AVA,5,5,12.17
AVA,5,5,12.07
AVA,5,5,12.13
AVA,5,5,12.64
AVA,5,5,13.36
AVA,6,6,12.74
AVA,6,6,13.57
AVA,6,6,13.77
AVA,6,6,13.47
AVA,6,6,13.51
AVA,6,6,14.19
AVA,6,6,14.87
AVA,6,6,15.17
AVA,6,6,15.57
AVA,6,6,15.92
AVA,6,6,16.07
AVA,6,6,15.96
AVA,6,6,15.54
AVA,6,6,14.37
AVA,6,6,13.93
AVA,6,6,14.3
AVA,6,6,13.56
