BA,Month,Hour,Transportation_Load_Penetration_Percentage
AVA,1,1,8.23
AVA,1,1,8.76
AVA,1,1,8.3
AVA,1,1,7.44
AVA,1,1,7.01
AVA,1,1,6.84
AVA,1,1,6.87
AVA,1,1,6.1
AVA,1,1,5.56
AVA,1,1,5.3
AVA,1,1,5.05
AVA,1,1,4.8
AVA,1,1,4.69
AVA,1,1,5.1
AVA,1,1,5.36
AVA,1,1,6.65
AVA,1,1,6.41
AVA,1,1,6.04
AVA,1,1,5.67
AVA,1,1,5.77
AVA,1,1,5.96
AVA,1,1,6.12
AVA,1,1,6.9
AVA,1,1,8.25
AVA,2,2,9.24
AVA,2,2,9.37
AVA,2,2,8.57
AVA,2,2,7.51
AVA,2,2,7.07
AVA,2,2,6.87
AVA,2,2,6.52
AVA,2,2,5.96
AVA,2,2,5.55
AVA,2,2,5.28
AVA,2,2,5.05
AVA,2,2,4.8
AVA,2,2,4.7
AVA,2,2,5.13
AVA,2,2,5.77
AVA,2,2,6.64
AVA,2,2,6.22
AVA,2,2,6.09
AVA,2,2,5.67
AVA,2,2,5.9
AVA,2,2,6.32
AVA,2,2,6.45
AVA,2,2,7.07
AVA,2,2,7.36
AVA,3,3,8.43
AVA,3,3,9.2
AVA,3,3,8.63
AVA,3,3,7.71
AVA,3,3,7.51
AVA,3,3,7.12
AVA,3,3,6.7
AVA,3,3,6.08
AVA,3,3,5.62
AVA,3,3,5.33
AVA,3,3,5.07
AVA,3,3,4.8
AVA,3,3,4.67
AVA,3,3,5.09
AVA,3,3,5.57
AVA,3,3,6.23
AVA,3,3,6.31
AVA,3,3,6.2
AVA,3,3,5.81
AVA,3,3,6.02
AVA,3,3,6.47
AVA,3,3,6.56
AVA,3,3,7.15
AVA,3,3,7.53
AVA,4,4,9.77
AVA,4,4,10.82
AVA,4,4,10.16
AVA,4,4,9.11
AVA,4,4,8.66
AVA,4,4,8.43
AVA,4,4,8.08
AVA,4,4,7.46
AVA,4,4,7.09
AVA,4,4,6.6
AVA,4,4,6.35
AVA,4,4,5.91
AVA,4,4,5.36
AVA,4,4,5.64
AVA,4,4,5.57
AVA,4,4,6.76
AVA,4,4,6.83
AVA,4,4,6.65
AVA,4,4,6.28
AVA,4,4,6.37
AVA,4,4,6.67
AVA,4,4,6.84
AVA,4,4,7.8
AVA,4,4,8.72
AVA,5,5,9.07
AVA,5,5,9.74
AVA,5,5,8.92
AVA,5,5,8.7
AVA,5,5,8.84
AVA,5,5,8.25
AVA,5,5,8.12
AVA,5,5,7.3
AVA,5,5,6.99
AVA,5,5,6.78
AVA,5,5,6.63
AVA,5,5,6.3
AVA,5,5,6.21
AVA,5,5,5.97
AVA,5,5,6.83
AVA,5,5,8.17
AVA,5,5,7.69
AVA,5,5,7.15
AVA,5,5,6.64
AVA,5,5,6.52
AVA,5,5,6.19
AVA,5,5,6.26
AVA,5,5,6.74
