BA,Month,Hour,Transportation_Load_Penetration_Percentage
AVA,1,1,2.28
AVA,1,1,2.42
AVA,1,1,2.18
AVA,1,1,1.86
AVA,1,1,1.67
AVA,1,1,1.52
AVA,1,1,1.47
AVA,1,1,1.18
AVA,1,1,0.96
AVA,1,1,0.83
AVA,1,1,0.73
AVA,1,1,0.65
AVA,1,1,0.67
AVA,1,1,0.89
AVA,1,1,1.07
AVA,1,1,1.6
AVA,1,1,1.58
AVA,1,1,1.47
AVA,1,1,1.35
AVA,1,1,1.41
AVA,1,1,1.46
AVA,1,1,1.53
AVA,1,1,1.83
AVA,1,1,2.32
AVA,2,2,2.63
AVA,2,2,2.63
AVA,2,2,2.31
AVA,2,2,1.9
AVA,2,2,1.72
AVA,2,2,1.58
AVA,2,2,1.4
AVA,2,2,1.13
AVA,2,2,0.95
AVA,2,2,0.82
AVA,2,2,0.72
AVA,2,2,0.64
AVA,2,2,0.65
AVA,2,2,0.88
AVA,2,2,1.19
AVA,2,2,1.58
AVA,2,2,1.53
AVA,2,2,1.5
AVA,2,2,1.36
AVA,2,2,1.46
AVA,2,2,1.6
AVA,2,2,1.65
AVA,2,2,1.85
AVA,2,2,1.93
AVA,3,3,2.53
AVA,3,3,2.74
AVA,3,3,2.48
AVA,3,3,2.11
AVA,3,3,1.99
AVA,3,3,1.78
AVA,3,3,1.55
AVA,3,3,1.24
AVA,3,3,1.02
AVA,3,3,0.87
AVA,3,3,0.75
AVA,3,3,0.66
AVA,3,3,0.68
AVA,3,3,0.94
AVA,3,3,1.22
AVA,3,3,1.55
AVA,3,3,1.65
AVA,3,3,1.63
AVA,3,3,1.49
AVA,3,3,1.61
AVA,3,3,1.79
AVA,3,3,1.85
AVA,3,3,2.05
AVA,3,3,2.16
AVA,4,4,2.93
AVA,4,4,3.34
AVA,4,4,3.05
AVA,4,4,2.61
AVA,4,4,2.38
AVA,4,4,2.19
AVA,4,4,1.96
AVA,4,4,1.66
AVA,4,4,1.46
AVA,4,4,1.22
AVA,4,4,1.11
AVA,4,4,0.97
AVA,4,4,0.85
AVA,4,4,1.11
AVA,4,4,1.24
AVA,4,4,1.78
AVA,4,4,1.83
AVA,4,4,1.75
AVA,4,4,1.61
AVA,4,4,1.66
AVA,4,4,1.77
AVA,4,4,1.82
AVA,4,4,2.19
AVA,4,4,2.54
AVA,5,5,2.63
AVA,5,5,2.87
AVA,5,5,2.49
AVA,5,5,2.38
AVA,5,5,2.41
AVA,5,5,2.05
AVA,5,5,1.88
AVA,5,5,1.47
AVA,5,5,1.26
AVA,5,5,1.11
AVA,5,5,1.03
AVA,5,5,0.91
AVA,5,5,0.96
AVA,5,5,1.07
AVA,5,5,1.56
AVA,5,5,2.15
AVA,5,5,1.98
AVA,5,5,1.83
AVA,5,5,1.68
AVA,5,5,1.68
AVA,5,5,1.55
AVA,5,5,1.58
AVA,5,5,1.76
AVA,5,5,2.08
AVA,6,6,2.34
AVA,6,6,2.63
AVA,6,6,2.6
AVA,6,6,2.23
AVA,6,6,2.01
AVA,6,6,1.89
AVA,6,6,1.76
AVA,6,6,1.47
AVA,6,6,1.25
AVA,6,6,1.11
AVA,6,6,1.0
AVA,6,6,0.93
AVA,6,6,0.97
AVA,6,6,1.13
AVA,6,6,1.64
AVA,6,6,2.26
AVA,6,6,2.04
AVA,6,6,1.64
AVA,6,6,1.48
AVA,6,6,1.47
AVA,6,6,1.5
AVA,6,6,1.41
AVA,6,6,1.64
AVA,6,6,2.15
AVA,7,7,1.9
AVA,7,7,2.13
AVA,7,7,2.16
AVA,7,7,2.03
AVA,7,7,1.73
AVA,7,7,1.68
AVA,7,7,1.5
AVA,7,7,1.27
AVA,7,7,1.13
AVA,7,7,1.02
AVA,7,7,0.93
AVA,7,7,0.89
AVA,7,7,1.0
AVA,7,7,1.33
AVA,7,7,1.55
AVA,7,7,2.03
AVA,7,7,1.9
AVA,7,7,1.56
AVA,7,7,1.36
AVA,7,7,1.39
AVA,7,7,1.79
AVA,7,7,1.56
AVA,7,7,1.48
AVA,7,7,1.68
AVA,8,8,2.15
AVA,8,8,2.41
AVA,8,8,2.65
AVA,8,8,2.12
AVA,8,8,1.93
AVA,8,8,1.93
AVA,8,8,1.99
AVA,8,8,1.49
AVA,8,8,1.31
AVA,8,8,1.23
AVA,8,8,1.06
AVA,8,8,0.96
AVA,8,8,1.01
AVA,8,8,1.2
AVA,8,8,1.65
AVA,8,8,2.33
AVA,8,8,2.03
AVA,8,8,1.61
AVA,8,8,1.41
AVA,8,8,1.37
AVA,8,8,1.35
AVA,8,8,1.3
AVA,8,8,1.5
AVA,8,8,1.77
AVA,9,9,2.57
AVA,9,9,3.37
AVA,9,9,2.98
AVA,9,9,2.27
AVA,9,9,2.1
AVA,9,9,1.95
AVA,9,9,1.76
AVA,9,9,1.43
AVA,9,9,1.22
AVA,9,9,1.07
AVA,9,9,0.95
AVA,9,9,0.88
AVA,9,9,0.9
AVA,9,9,1.15
AVA,9,9,1.65
AVA,9,9,2.19
AVA,9,9,1.88
AVA,9,9,1.75
AVA,9,9,1.57
AVA,9,9,1.56
AVA,9,9,1.58
AVA,9,9,1.58
AVA,9,9,1.79
AVA,9,9,2.31
AVA,10,10,2.75
AVA,10,10,3.12
AVA,10,10,2.77
AVA,10,10,2.54
AVA,10,10,2.15
