BA,Month,Hour,Transportation_Load_Penetration_Percentage
AVA,1,1,11.2
AVA,1,1,11.78
AVA,1,1,11.65
AVA,1,1,11.04
AVA,1,1,10.85
AVA,1,1,11.08
AVA,1,1,11.43
AVA,1,1,11.2
AVA,1,1,11.07
AVA,1,1,11.11
AVA,1,1,11.02
AVA,1,1,10.74
AVA,1,1,10.32
AVA,1,1,10.13
AVA,1,1,9.75
AVA,1,1,10.39
AVA,1,1,9.86
AVA,1,1,9.36
AVA,1,1,8.98
AVA,1,1,9.04
AVA,1,1,9.18
AVA,1,1,9.4
AVA,1,1,10.07
AVA,1,1,11.19
AVA,2,2,12.2
AVA,2,2,12.59
AVA,2,2,12.26
AVA,2,2,11.48
AVA,2,2,11.31
AVA,2,2,11.54
AVA,2,2,11.62
AVA,2,2,11.4
AVA,2,2,11.31
AVA,2,2,11.31
AVA,2,2,11.18
AVA,2,2,10.88
AVA,2,2,10.42
AVA,2,2,10.19
AVA,2,2,10.05
AVA,2,2,10.4
AVA,2,2,9.76
AVA,2,2,9.49
AVA,2,2,9.07
AVA,2,2,9.23
AVA,2,2,9.58
AVA,2,2,9.78
AVA,2,2,10.34
AVA,2,2,10.77
AVA,3,3,11.39
AVA,3,3,12.25
AVA,3,3,11.99
AVA,3,3,11.41
AVA,3,3,11.4
AVA,3,3,11.55
AVA,3,3,11.64
AVA,3,3,11.49
AVA,3,3,11.4
AVA,3,3,11.36
AVA,3,3,11.23
AVA,3,3,10.87
AVA,3,3,10.36
AVA,3,3,10.06
AVA,3,3,9.77
AVA,3,3,9.76
AVA,3,3,9.62
AVA,3,3,9.4
AVA,3,3,8.96
AVA,3,3,8.99
AVA,3,3,9.41
AVA,3,3,9.54
AVA,3,3,10.11
AVA,3,3,10.55
AVA,4,4,12.47
AVA,4,4,13.57
AVA,4,4,13.47
AVA,4,4,12.77
AVA,4,4,12.62
AVA,4,4,12.93
AVA,4,4,13.13
AVA,4,4,13.05
AVA,4,4,13.1
AVA,4,4,12.99
AVA,4,4,12.85
AVA,4,4,12.38
AVA,4,4,11.59
AVA,4,4,11.09
AVA,4,4,10.11
AVA,4,4,10.66
AVA,4,4,10.53
AVA,4,4,10.23
AVA,4,4,9.77
AVA,4,4,9.66
AVA,4,4,9.9
AVA,4,4,10.03
AVA,4,4,10.8
AVA,4,4,11.62
AVA,5,5,12.45
AVA,5,5,13.23
AVA,5,5,12.95
AVA,5,5,12.78
AVA,5,5,13.07
AVA,5,5,13.22
AVA,5,5,13.62
AVA,5,5,13.46
AVA,5,5,13.62
AVA,5,5,13.76
AVA,5,5,13.72
AVA,5,5,13.31
AVA,5,5,12.73
AVA,5,5,11.48
AVA,5,5,11.22
AVA,5,5,11.89
AVA,5,5,11.41
AVA,5,5,10.89
AVA,5,5,10.27
AVA,5,5,10.03
AVA,5,5,9.87
AVA,5,5,9.95
AVA,5,5,10.46
AVA,5,5,11.23
AVA,6,6,10.93
AVA,6,6,11.83
AVA,6,6,12.04
AVA,6,6,11.63
AVA,6,6,11.59
AVA,6,6,12.14
AVA,6,6,12.69
AVA,6,6,12.8
AVA,6,6,13.03
AVA,6,6,13.25
AVA,6,6,13.32
AVA,6,6,13.18
AVA,6,6,12.79
AVA,6,6,11.83
AVA,6,6,11.57
AVA,6,6,12.14
AVA,6,6,11.39
AVA,6,6,10.24
AVA,6,6,9.47
AVA,6,6,9.08
AVA,6,6,9.05
AVA,6,6,8.82
AVA,6,6,9.29
AVA,6,6,10.31
AVA,7,7,9.16
AVA,7,7,9.91
AVA,7,7,10.28
AVA,7,7,10.43
AVA,7,7,10.33
AVA,7,7,10.96
AVA,7,7,11.36
AVA,7,7,11.63
AVA,7,7,11.99
AVA,7,7,12.29
AVA,7,7,12.48
AVA,7,7,12.45
AVA,7,7,12.41
AVA,7,7,11.97
AVA,7,7,11.2
AVA,7,7,11.28
AVA,7,7,10.49
AVA,7,7,9.43
AVA,7,7,8.66
AVA,7,7,8.34
AVA,7,7,8.9
AVA,7,7,8.37
AVA,7,7,8.27
AVA,7,7,8.83
AVA,8,8,9.16
AVA,8,8,9.99
AVA,8,8,10.81
AVA,8,8,10.4
AVA,8,8,10.49
AVA,8,8,11.12
AVA,8,8,11.84
AVA,8,8,11.59
AVA,8,8,11.89
