BA,Month,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,1,0,2789.282903225806,312.33451612903235,2476.948387096774
AVA,1,1,2895.960645161291,341.07096774193553,2554.8896774193545
AVA,1,2,2947.972903225806,343.35516129032254,2604.617741935484
AVA,1,3,2970.6193548387096,327.955806451613,2642.663548387097
AVA,1,4,2960.151935483871,321.0941935483872,2639.057741935484
AVA,1,5,2848.9,315.5341935483872,2533.3658064516126
AVA,1,6,2719.795161290323,310.9458064516129,2408.849354838709
AVA,1,7,2570.3425806451614,287.9583870967742,2282.3841935483874
AVA,1,8,2433.876129032258,269.4483870967742,2164.4277419354844
AVA,1,9,2346.819677419355,260.666129032258,2086.153548387096
AVA,1,10,2300.126129032258,253.51032258064527,2046.615806451613
AVA,1,11,2294.929677419355,246.36838709677428,2048.5612903225806
AVA,1,12,2348.702903225806,242.41129032258067,2106.291612903226
AVA,1,13,2439.0577419354836,246.96774193548384,2192.0899999999997
AVA,1,14,2533.2245161290325,247.01677419354834,2286.207741935484
AVA,1,15,2657.175483870967,276.00193548387097,2381.1735483870966
AVA,1,16,2802.524516129032,276.2212903225806,2526.303225806452
AVA,1,17,2871.463870967742,268.6893548387096,2602.7745161290322
AVA,1,18,2843.1287096774195,255.41419354838715,2587.7145161290327
AVA,1,19,2809.4696774193544,253.84483870967748,2555.6248387096775
AVA,1,20,2776.4990322580647,254.99129032258065,2521.5077419354843
AVA,1,21,2745.2554838709675,258.04838709677415,2487.207096774193
AVA,1,22,2730.303225806452,274.8106451612904,2455.4925806451615
AVA,1,23,2747.314193548387,307.34225806451616,2439.971935483871
AVA,2,0,2619.315,319.6842857142857,2299.6307142857145
AVA,2,1,2725.0064285714284,343.05178571428576,2381.9546428571425
AVA,2,2,2780.812857142857,340.8621428571429,2439.950714285714
AVA,2,3,2804.4028571428576,321.97999999999996,2482.4228571428575
AVA,2,4,2794.593928571429,316.0839285714286,2478.5099999999998
AVA,2,5,2688.8749999999995,310.22107142857146,2378.6539285714284
AVA,2,6,2570.056071428571,298.55,2271.5060714285714
AVA,2,7,2439.475357142857,278.17071428571427,2161.3046428571424
AVA,2,8,2322.4596428571426,262.6553571428571,2059.8042857142855
AVA,2,9,2247.6932142857145,254.18249999999998,1993.5107142857144
AVA,2,10,2210.8239285714285,247.2757142857143,1963.5482142857147
AVA,2,11,2210.2667857142856,240.46285714285713,1969.8039285714283
AVA,2,12,2270.4903571428567,236.50892857142853,2033.9814285714285
AVA,2,13,2370.1025,241.48,2128.6225
AVA,2,14,2477.6060714285713,249.01321428571433,2228.592857142857
AVA,2,15,2616.6510714285714,272.13392857142856,2344.5171428571425
AVA,2,16,2774.6278571428566,270.7892857142857,2503.838571428571
AVA,2,17,2783.8032142857146,264.16749999999996,2519.6357142857137
AVA,2,18,2737.4275000000002,248.22678571428574,2489.2007142857146
AVA,2,19,2695.3767857142857,248.77642857142857,2446.600357142857
AVA,2,20,2654.319285714286,254.36357142857142,2399.9557142857147
AVA,2,21,2614.1324999999997,255.5814285714286,2358.5510714285715
AVA,2,22,2594.4478571428576,268.31357142857144,2326.134285714286
AVA,2,23,2582.7875,278.2767857142857,2304.5107142857146
AVA,3,0,2437.026451612903,277.4832258064517,2159.543225806452
AVA,3,1,2492.6035483870965,305.3506451612903,2187.252903225806
AVA,3,2,2564.3177419354843,307.4761290322581,2256.8416129032257
AVA,3,3,2593.6116129032257,295.81322580645167,2297.7983870967746
AVA,3,4,2590.1109677419354,295.23548387096764,2294.8754838709674
AVA,3,5,2473.9438709677424,285.663870967742,2188.2799999999997
AVA,3,6,2353.976451612903,273.93451612903226,2080.041935483871
AVA,3,7,2238.606774193548,257.3093548387097,1981.297419354839
AVA,3,8,2132.7222580645166,243.2151612903225,1889.5070967741938
AVA,3,9,2071.146451612903,235.3509677419355,1835.795483870968
AVA,3,10,2040.5438709677421,229.17548387096775,1811.3683870967743
AVA,3,11,2051.5551612903228,223.0932258064516,1828.461935483871
AVA,3,12,2123.639032258065,220.09677419354844,1903.542258064516
AVA,3,13,2239.114193548387,225.30806451612904,2013.806129032258
AVA,3,14,2373.9274193548385,231.82548387096773,2142.101935483871
AVA,3,15,2604.8570967741935,254.11612903225807,2350.7409677419355
AVA,3,16,2649.370322580645,254.791935483871,2394.578387096774
AVA,3,17,2619.9290322580646,246.21193548387095,2373.717096774194
AVA,3,18,2570.686129032258,230.35032258064516,2340.3358064516124
AVA,3,19,2538.58064516129,228.25580645161293,2310.3248387096774
AVA,3,20,2515.620322580645,236.7303225806452,2278.8900000000003
AVA,3,21,2477.0332258064514,236.26903225806456,2240.764193548387
AVA,3,22,2459.91064516129,248.648064516129,2211.262580645162
AVA,3,23,2446.1764516129033,258.12290322580645,2188.0535483870967
AVA,4,0,2320.2909999999997,289.4516666666667,2030.8393333333331
AVA,4,1,2360.125333333334,320.31833333333327,2039.807
AVA,4,2,2376.3736666666664,320.0203333333332,2056.3533333333335
AVA,4,3,2409.355333333333,307.6769999999999,2101.678333333333
AVA,4,4,2397.8033333333337,302.6923333333333,2095.111
AVA,4,5,2282.563666666667,295.10699999999997,1987.4566666666667
AVA,4,6,2157.4466666666667,283.3526666666667,1874.094
AVA,4,7,2027.5060000000003,264.6796666666666,1762.8263333333337
AVA,4,8,1916.8629999999998,251.15866666666662,1665.7043333333336
AVA,4,9,1851.9033333333334,240.5763333333333,1611.3269999999998
AVA,4,10,1826.614,234.76999999999995,1591.844
AVA,4,11,1835.499,227.20366666666672,1608.295333333333
AVA,4,12,1893.7783333333334,219.40266666666665,1674.3756666666668
AVA,4,13,2009.45,222.85966666666667,1786.590333333333
AVA,4,14,2220.99,224.61266666666668,1996.3773333333336
AVA,4,15,2338.4990000000007,249.33599999999996,2089.163
AVA,4,16,2365.7853333333333,249.2223333333334,2116.5629999999996
AVA,4,17,2354.5106666666666,240.979,2113.5316666666668
AVA,4,18,2336.5060000000003,228.27566666666675,2108.2303333333334
AVA,4,19,2334.141,225.59400000000002,2108.547
AVA,4,20,2330.7873333333337,230.64699999999996,2100.1403333333337
AVA,4,21,2308.757333333333,231.64833333333328,2077.109
AVA,4,22,2295.4073333333336,247.9323333333333,2047.475
AVA,4,23,2289.574333333333,265.97166666666664,2023.6026666666667
AVA,5,0,2213.323870967742,275.50419354838715,1937.819677419355
AVA,5,1,2255.890967741935,298.5345161290323,1957.3564516129031
AVA,5,2,2251.6861290322577,291.68548387096774,1960.0006451612903
AVA,5,3,2278.5322580645166,291.1716129032259,1987.3606451612907
AVA,5,4,2254.9267741935487,294.78387096774185,1960.1429032258068
AVA,5,5,2117.2599999999998,279.796129032258,1837.4638709677422
AVA,5,6,1985.6703225806452,270.5083870967742,1715.161935483871
AVA,5,7,1846.5158064516131,248.51000000000002,1598.005806451613
AVA,5,8,1726.2983870967744,235.04096774193545,1491.2574193548385
AVA,5,9,1654.0054838709677,227.5248387096774,1426.48064516129
AVA,5,10,1621.368709677419,222.37741935483874,1398.9912903225807
AVA,5,11,1620.7767741935484,215.6903225806451,1405.0864516129031
AVA,5,12,1670.1109677419352,212.52451612903224,1457.5864516129031
AVA,5,13,1852.5151612903219,212.61322580645165,1639.9019354838706
AVA,5,14,1996.7583870967742,223.96290322580649,1772.7954838709677
AVA,5,15,2095.2267741935484,249.0996774193549,1846.1270967741937
AVA,5,16,2129.9187096774194,243.03000000000006,1886.8887096774197
AVA,5,17,2147.3496774193545,233.8251612903226,1913.5245161290318
AVA,5,18,2163.6829032258065,222.1735483870968,1941.5093548387097
AVA,5,19,2179.562258064516,218.61290322580652,1960.9493548387095
AVA,5,20,2185.774838709677,215.80161290322584,1969.9732258064516
AVA,5,21,2184.244193548387,217.34967741935475,1966.894516129032
AVA,5,22,2180.9393548387097,228.06387096774185,1952.8754838709676
AVA,5,23,2184.1503225806455,245.3603225806451,1938.7900000000002
AVA,6,0,2421.8776666666668,264.62066666666664,2157.257
AVA,6,1,2459.089333333334,290.867,2168.222333333333
AVA,6,2,2469.1860000000006,297.3846666666667,2171.801333333334
AVA,6,3,2430.043333333333,282.661,2147.382333333334
AVA,6,4,2373.5429999999997,275.192,2098.351
AVA,6,5,2215.4423333333334,268.92866666666663,1946.5136666666667
AVA,6,6,2048.7033333333334,260.056,1788.6473333333336
AVA,6,7,1885.0753333333334,241.30500000000004,1643.7703333333332
AVA,6,8,1746.9950000000001,227.55133333333336,1519.4436666666668
AVA,6,9,1660.001666666667,220.00066666666675,1440.001
AVA,6,10,1608.1793333333333,214.276,1393.9033333333332
AVA,6,11,1586.5573333333339,209.07166666666674,1377.4856666666667
AVA,6,12,1609.1730000000002,205.79366666666675,1403.3793333333333
AVA,6,13,1759.38,208.05666666666673,1551.323333333333
AVA,6,14,1892.7103333333332,218.9833333333334,1673.7270000000003
AVA,6,15,2021.4843333333333,245.4533333333333,1776.0310000000002
AVA,6,16,2100.2913333333336,239.23699999999997,1861.0543333333333
