BA,Month,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,1,0,2329.4016129032257,191.73064516129025,2137.670967741936
AVA,1,1,2411.595161290323,211.17387096774195,2200.4212903225807
AVA,1,2,2446.016451612903,202.97193548387096,2243.0445161290318
AVA,1,3,2458.8377419354833,182.8509677419355,2275.9867741935486
AVA,1,4,2430.9122580645167,170.52096774193544,2260.3912903225805
AVA,1,5,2324.908709677419,158.92967741935485,2165.9790322580648
AVA,1,6,2214.8806451612904,152.0645161290322,2062.8161290322582
AVA,1,7,2084.6135483870967,127.20774193548387,1957.405806451613
AVA,1,8,1971.8016129032255,109.69806451612902,1862.1035483870971
AVA,1,9,1899.623548387097,100.68,1798.9435483870968
AVA,1,10,1862.5709677419356,94.04935483870969,1768.5216129032256
AVA,1,11,1862.477419354839,89.37774193548387,1773.0996774193545
AVA,1,12,1919.9290322580646,90.0867741935484,1829.8422580645163
AVA,1,13,2007.373870967742,102.3474193548387,1905.0264516129032
AVA,1,14,2100.2267741935484,112.63129032258065,1987.5954838709679
AVA,1,15,2218.4954838709677,147.4406451612903,2071.0548387096774
AVA,1,16,2340.3519354838704,150.0641935483871,2190.2877419354836
AVA,1,17,2406.246774193549,145.39161290322582,2260.8551612903225
AVA,1,18,2383.486451612903,135.13806451612902,2248.348387096774
AVA,1,19,2353.4900000000002,135.89612903225802,2217.5938709677425
AVA,1,20,2321.857419354839,138.39774193548385,2183.4596774193546
AVA,1,21,2292.702580645161,140.34645161290322,2152.356129032258
AVA,1,22,2282.9529032258065,157.55516129032262,2125.3977419354833
AVA,1,23,2304.8054838709677,190.14258064516133,2114.662903225806
AVA,2,0,2184.9246428571428,201.80928571428572,1983.115357142857
AVA,2,1,2272.9942857142855,213.05857142857138,2059.9357142857143
AVA,2,2,2312.6057142857144,198.27607142857144,2114.329642857143
AVA,2,3,2330.6685714285713,174.92642857142854,2155.742142857143
AVA,2,4,2317.6832142857143,163.95250000000001,2153.7307142857144
AVA,2,5,2217.6528571428566,152.33607142857142,2065.3167857142857
AVA,2,6,2109.305714285714,137.4542857142857,1971.8514285714284
AVA,2,7,2000.991785714286,119.20214285714285,1881.7896428571428
AVA,2,8,1898.514642857143,105.3635714285714,1793.1510714285716
AVA,2,9,1829.8864285714285,96.70892857142857,1733.1775
AVA,2,10,1792.0475,90.51142857142857,1701.5360714285712
AVA,2,11,1794.3503571428573,86.18035714285712,1708.1700000000003
AVA,2,12,1844.7492857142859,86.69321428571426,1758.0560714285714
AVA,2,13,1932.893928571429,99.0982142857143,1833.7957142857144
AVA,2,14,2037.3685714285714,117.54142857142858,1919.827142857143
AVA,2,15,2165.3232142857146,143.77178571428573,2021.551428571429
AVA,2,16,2310.0385714285712,143.76250000000002,2166.2760714285714
AVA,2,17,2316.9421428571427,141.18964285714287,2175.7525
AVA,2,18,2275.4367857142856,128.98857142857142,2146.4482142857137
AVA,2,19,2244.8939285714287,132.38964285714286,2112.5042857142853
AVA,2,20,2217.4214285714284,140.07892857142858,2077.3425
AVA,2,21,2187.0239285714288,141.14785714285716,2045.8760714285713
AVA,2,22,2171.9121428571425,153.64964285714288,2018.2625
AVA,2,23,2166.051785714286,159.42857142857142,2006.623214285714
AVA,3,0,2050.4761290322576,172.9006451612903,1877.5754838709674
AVA,3,1,2095.503548387097,192.70967741935482,1902.7938709677414
AVA,3,2,2152.407096774193,185.79225806451618,1966.614838709677
AVA,3,3,2175.1693548387093,167.60161290322583,2007.5677419354836
AVA,3,4,2160.764516129032,162.35225806451612,1998.4122580645164
AVA,3,5,2060.719032258064,146.79129032258064,1913.9277419354842
AVA,3,6,1954.420967741935,130.94516129032257,1823.475806451613
AVA,3,7,1846.5732258064515,112.18483870967744,1734.3883870967743
AVA,3,8,1750.6809677419355,98.43645161290323,1652.2445161290323
AVA,3,9,1693.7138709677422,90.24193548387099,1603.4719354838712
AVA,3,10,1666.6267741935478,84.54129032258065,1582.085483870968
AVA,3,11,1675.5235483870963,80.34612903225805,1595.177419354839
AVA,3,12,1740.7770967741935,81.20870967741938,1659.5683870967744
AVA,3,13,1839.7135483870966,93.58387096774193,1746.1296774193545
AVA,3,14,1962.8361290322582,109.36419354838708,1853.4719354838714
AVA,3,15,2157.673870967742,134.40870967741935,2023.2651612903226
AVA,3,16,2199.4274193548385,138.81967741935483,2060.6077419354847
AVA,3,17,2175.4170967741934,134.93516129032258,2040.481935483871
AVA,3,18,2134.8887096774192,123.94612903225809,2010.9425806451611
AVA,3,19,2110.102580645161,127.0506451612903,1983.051935483871
AVA,3,20,2094.595806451613,135.46709677419355,1959.1287096774197
AVA,3,21,2068.556451612903,135.79064516129034,1932.7658064516133
AVA,3,22,2052.581290322581,146.70967741935485,1905.8716129032255
AVA,3,23,2035.0799999999997,153.3167741935484,1881.7632258064518
AVA,4,0,1831.2736666666667,178.95766666666665,1652.3160000000003
AVA,4,1,1855.868333333333,200.7186666666667,1655.1496666666667
AVA,4,2,1872.672,190.1856666666667,1682.4863333333335
AVA,4,3,1901.7696666666668,173.32999999999998,1728.4396666666662
AVA,4,4,1888.3453333333334,163.5883333333333,1724.757
AVA,4,5,1785.1246666666664,150.57266666666666,1634.552
AVA,4,6,1680.986333333333,135.85000000000002,1545.1363333333331
AVA,4,7,1579.6656666666665,117.8886666666667,1461.7769999999996
AVA,4,8,1488.418666666667,105.5986666666667,1382.8199999999997
AVA,4,9,1432.130666666667,94.49933333333334,1337.6313333333333
AVA,4,10,1411.6076666666668,89.63133333333336,1321.9763333333335
AVA,4,11,1422.697,84.05799999999999,1338.639
AVA,4,12,1482.5126666666663,79.51533333333333,1402.9973333333332
AVA,4,13,1593.4000000000005,89.90733333333333,1503.4926666666665
AVA,4,14,1787.6086666666667,99.49266666666671,1688.1160000000002
AVA,4,15,1882.7903333333336,127.34700000000002,1755.4433333333336
AVA,4,16,1898.3129999999996,129.60533333333333,1768.7076666666667
AVA,4,17,1887.5053333333335,125.52199999999999,1761.9833333333336
AVA,4,18,1867.0573333333334,117.20599999999997,1749.851333333333
AVA,4,19,1860.5420000000001,118.49966666666666,1742.0423333333335
AVA,4,20,1858.412,123.96266666666664,1734.4493333333332
AVA,4,21,1838.967,125.71233333333333,1713.254666666667
AVA,4,22,1820.772,142.01633333333336,1678.7556666666667
AVA,4,23,1814.8766666666668,158.2333333333333,1656.6433333333339
AVA,5,0,1864.452258064516,169.10161290322577,1695.3506451612905
AVA,5,1,1893.0019354838712,184.31096774193546,1708.690967741935
AVA,5,2,1871.3345161290324,166.991935483871,1704.3425806451617
AVA,5,3,1860.2748387096774,161.85387096774193,1698.4209677419353
AVA,5,4,1824.6361290322584,161.35774193548383,1663.2783870967744
AVA,5,5,1695.2193548387093,139.91709677419354,1555.302258064516
AVA,5,6,1568.7677419354836,127.3483870967742,1441.4193548387098
AVA,5,7,1438.574193548387,104.9516129032258,1333.6225806451612
AVA,5,8,1325.782580645161,92.68354838709679,1233.0990322580644
AVA,5,9,1258.4870967741936,85.37032258064517,1173.1167741935485
AVA,5,10,1222.2364516129032,81.04387096774194,1141.1925806451613
AVA,5,11,1213.4745161290323,76.50193548387095,1136.972580645161
AVA,5,12,1245.8016129032258,77.3406451612903,1168.4609677419355
AVA,5,13,1398.1109677419358,83.45741935483869,1314.6535483870969
AVA,5,14,1536.0303225806451,104.85838709677421,1431.1719354838715
AVA,5,15,1643.6,134.21290322580646,1509.3870967741934
AVA,5,16,1688.1858064516132,129.74193548387098,1558.4438709677422
AVA,5,17,1723.1993548387093,123.21612903225808,1599.9832258064514
AVA,5,18,1754.5758064516126,116.42354838709677,1638.1522580645164
AVA,5,19,1784.6496774193545,116.27354838709677,1668.3761290322582
AVA,5,20,1801.5551612903223,111.58322580645158,1689.9719354838705
AVA,5,21,1815.67,113.61096774193548,1702.0590322580645
AVA,5,22,1823.0509677419361,122.8725806451613,1700.1783870967745
AVA,5,23,1827.9983870967746,138.89387096774195,1689.1045161290322
AVA,6,0,2009.2886666666668,163.40866666666668,1845.8799999999999
AVA,6,1,2038.8266666666666,182.24833333333336,1856.5783333333331
AVA,6,2,2034.169333333333,181.27099999999993,1852.898333333333
AVA,6,3,1982.3600000000001,159.30399999999997,1823.056
AVA,6,4,1920.008333333333,145.91766666666666,1774.0906666666665
AVA,6,5,1778.5303333333334,134.36333333333332,1644.167
AVA,6,6,1635.101,122.53566666666666,1512.5653333333332
AVA,6,7,1495.4013333333335,104.87833333333332,1390.5230000000001
AVA,6,8,1373.7189999999998,91.82899999999998,1281.8899999999999
AVA,6,9,1298.3273333333334,84.13966666666666,1214.187666666667
AVA,6,10,1252.3883333333333,78.91333333333333,1173.475
AVA,6,11,1232.5353333333335,75.55933333333333,1156.9759999999999
AVA,6,12,1250.4856666666665,75.79066666666664,1174.6950000000002
AVA,6,13,1377.647,83.76933333333335,1293.8776666666668
AVA,6,14,1501.2563333333333,104.26733333333331,1396.9890000000003
AVA,6,15,1623.5166666666667,134.72533333333334,1488.7913333333333
AVA,6,16,1699.3269999999998,130.5616666666667,1568.7653333333335
AVA,6,17,1752.5026666666668,115.568,1636.934666666667
AVA,6,18,1807.4986666666664,108.88000000000004,1698.6186666666665
AVA,6,19,1856.1336666666668,109.15400000000004,1746.9796666666668
AVA,6,20,1894.5166666666669,112.27099999999999,1782.2456666666667
AVA,6,21,1920.066,109.02366666666666,1811.0423333333333
AVA,6,22,1949.113666666667,121.86933333333332,1827.2443333333333
AVA,6,23,1974.4923333333338,148.20766666666665,1826.2846666666665
AVA,7,0,2342.8370967741935,160.73354838709676,2182.1035483870965
AVA,7,1,2369.6612903225805,177.43161290322575,2192.229677419355
AVA,7,2,2345.4900000000002,178.57419354838711,2166.9158064516123
AVA,7,3,2249.6477419354837,165.9064516129032,2083.7412903225804
AVA,7,4,2151.276451612903,145.44032258064522,2005.8361290322582
AVA,7,5,1993.4658064516125,137.90258064516127,1855.5632258064516
AVA,7,6,1819.7812903225806,122.33451612903225,1697.4467741935484
AVA,7,7,1653.668064516129,104.52870967741936,1549.1393548387098
AVA,7,8,1512.686129032258,92.87935483870967,1419.8067741935486
AVA,7,9,1424.4093548387095,85.25032258064515,1339.1590322580648
