BA,Month,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,1,0,2134.2832258064514,52.78387096774195,2081.4993548387097
AVA,1,1,2225.7200000000003,58.4658064516129,2167.254193548387
AVA,1,2,2285.5587096774193,54.182258064516134,2231.376451612903
AVA,1,3,2318.146129032258,46.89645161290322,2271.249677419355
AVA,1,4,2287.1525806451605,41.52709677419355,2245.625483870968
AVA,1,5,2197.6764516129037,36.42096774193548,2161.255483870968
AVA,1,6,2102.2277419354837,33.39935483870968,2068.828387096774
AVA,1,7,1999.3696774193545,25.483870967741932,1973.885806451613
AVA,1,8,1900.6041935483875,19.61612903225807,1880.9880645161297
AVA,1,9,1821.562258064516,16.30161290322581,1805.2606451612903
AVA,1,10,1776.8712903225805,13.88741935483871,1762.983870967742
AVA,1,11,1789.9690322580643,12.483225806451614,1777.485806451613
AVA,1,12,1849.9232258064517,13.13838709677419,1836.7848387096774
AVA,1,13,1929.3219354838707,18.308709677419355,1911.0132258064518
AVA,1,14,2009.0674193548389,23.40935483870967,1985.6580645161287
AVA,1,15,2093.297741935484,36.35548387096774,2056.9422580645164
AVA,1,16,2205.1874193548388,38.16516129032259,2167.0222580645163
AVA,1,17,2276.7741935483873,36.64645161290323,2240.127741935484
AVA,1,18,2260.3416129032257,33.432903225806456,2226.908709677419
AVA,1,19,2220.5703225806456,34.21774193548387,2186.3525806451617
AVA,1,20,2180.8006451612905,34.8416129032258,2145.9590322580643
AVA,1,21,2143.4693548387095,35.64483870967743,2107.824516129032
AVA,1,22,2117.5654838709675,41.98451612903226,2075.5809677419356
AVA,1,23,2118.585483870968,52.67967741935484,2065.9058064516125
AVA,2,0,2030.7553571428575,57.53107142857141,1973.2242857142858
AVA,2,1,2118.694285714286,60.13571428571429,2058.558571428571
AVA,2,2,2178.923928571429,54.49750000000001,2124.4264285714285
AVA,2,3,2211.5882142857145,45.69999999999999,2165.888214285714
AVA,2,4,2187.5532142857146,40.87,2146.6832142857143
AVA,2,5,2103.0860714285714,36.14857142857143,2066.9375000000005
AVA,2,6,2007.0260714285719,30.388571428571424,1976.6374999999996
AVA,2,7,1909.7325,23.41464285714286,1886.3178571428575
AVA,2,8,1820.849642857143,18.661785714285713,1802.1878571428572
AVA,2,9,1757.0928571428574,15.434999999999999,1741.6578571428574
AVA,2,10,1726.6360714285715,13.232142857142858,1713.4039285714284
AVA,2,11,1739.4475000000002,11.909999999999997,1727.5374999999997
AVA,2,12,1800.6303571428573,12.52035714285714,1788.11
AVA,2,13,1880.6249999999998,17.583928571428572,1863.0410714285715
AVA,2,14,1962.9474999999998,25.19357142857143,1937.7539285714286
AVA,2,15,2055.460714285714,35.20428571428572,2020.2564285714286
AVA,2,16,2191.6428571428573,36.51821428571428,2155.124642857143
AVA,2,17,2196.159642857143,35.84392857142858,2160.3157142857144
AVA,2,18,2155.1471428571426,32.01607142857142,2123.131071428571
AVA,2,19,2122.995,33.877142857142864,2089.1178571428577
AVA,2,20,2096.161071428571,36.376428571428576,2059.7846428571424
AVA,2,21,2070.1439285714287,37.0875,2033.0564285714286
AVA,2,22,2052.9675,41.01357142857143,2011.9539285714286
AVA,2,23,2039.3639285714287,42.746071428571426,1996.6178571428572
AVA,3,0,1702.0500000000002,46.85129032258066,1655.1987096774192
AVA,3,1,1746.183870967742,51.99258064516131,1694.1912903225805
AVA,3,2,1814.214193548387,49.02193548387095,1765.1922580645162
AVA,3,3,1845.8041935483873,42.340645161290304,1803.463548387097
AVA,3,4,1831.7925806451613,39.65,1792.1425806451614
AVA,3,5,1747.1709677419356,33.7483870967742,1713.4225806451611
AVA,3,6,1661.748064516129,27.906451612903222,1633.841612903226
AVA,3,7,1575.8564516129034,21.219677419354834,1554.6367741935483
AVA,3,8,1501.3406451612902,16.510322580645166,1484.8303225806449
AVA,3,9,1453.0061290322583,13.536774193548386,1439.4693548387097
AVA,3,10,1433.93,11.599677419354837,1422.3303225806449
AVA,3,11,1450.085806451613,10.306451612903224,1439.7793548387099
AVA,3,12,1512.0916129032262,11.022258064516127,1501.0693548387094
AVA,3,13,1595.556774193548,16.032580645161293,1579.524193548387
AVA,3,14,1691.7787096774193,22.31483870967741,1669.4638709677417
AVA,3,15,1858.7867741935486,31.37354838709678,1827.4132258064517
AVA,3,16,1895.1816129032259,34.18064516129032,1861.000967741936
AVA,3,17,1872.6467741935483,33.23741935483871,1839.4093548387098
AVA,3,18,1839.8912903225807,29.999677419354835,1809.8916129032257
AVA,3,19,1813.4174193548388,31.810000000000006,1781.6074193548386
