BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,0,2636.327205479452,286.1910410958904,2350.1361643835617
AVA,1,2700.766191780822,315.0523287671233,2385.7138630136983
AVA,2,2715.930465753425,316.437698630137,2399.4927671232876
AVA,3,2702.083698630137,303.5436438356165,2398.540054794521
AVA,4,2649.115287671233,297.003698630137,2352.1115890410956
AVA,5,2514.1623561643837,290.294,2223.8683561643834
AVA,6,2369.3640273972605,280.48246575342466,2088.8815616438355
AVA,7,2219.7929589041096,260.6188219178082,1959.1741369863012
AVA,8,2087.539205479452,246.04021917808222,1841.4989863013698
AVA,9,2000.895424657534,237.93920547945206,1762.9562191780822
AVA,10,1955.0125479452056,231.58734246575344,1723.425205479452
AVA,11,1945.2097260273974,225.7724109589041,1719.4373150684935
AVA,12,1985.9919452054796,221.62257534246578,1764.3693698630138
AVA,13,2092.6380000000004,223.9587397260274,1868.6792602739724
AVA,14,2227.2036986301373,230.92731506849316,1996.2763835616438
AVA,15,2378.0643287671232,256.68194520547945,2121.382383561644
AVA,16,2473.6736986301366,253.27712328767123,2220.396575342466
AVA,17,2514.1423561643833,242.52265753424655,2271.619698630137
AVA,18,2528.686712328767,229.995698630137,2298.6910136986303
AVA,19,2543.8556712328764,227.1371780821918,2316.718493150685
AVA,20,2557.027287671233,231.04695890410963,2325.980328767123
AVA,21,2558.2144657534245,230.6126301369863,2327.601835616438
AVA,22,2566.8033424657533,242.2218082191781,2324.5815342465753
AVA,23,2580.7906849315063,261.44983561643835,2319.340849315068
AZPS,0,7788.58509589041,1979.6429863013698,5808.942109589041
AZPS,1,8054.487205479452,2124.0288219178083,5930.458383561644
AZPS,2,7901.190986301371,1987.247287671233,5913.943698630137
AZPS,3,7655.638794520547,1886.5890410958905,5769.049753424658
AZPS,4,7413.412657534247,1821.2202191780823,5592.1924383561645
AZPS,5,6983.810547945206,1731.9574794520547,5251.853068493151
AZPS,6,6540.082465753425,1642.4630136986302,4897.619452054795
AZPS,7,6083.431095890412,1514.7267397260275,4568.704356164383
AZPS,8,5717.01405479452,1447.1953972602741,4269.818657534247
AZPS,9,5451.366931506848,1402.716712328767,4048.6502191780824
