BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,0,3831.079863013699,480.3570136986302,3350.7228493150687
AVA,1,3921.182,519.7341095890412,3401.4478904109587
AVA,2,3945.2074794520554,524.1136712328768,3421.0938082191788
AVA,3,3926.8959726027397,507.1610684931507,3419.7349041095886
AVA,4,3852.0793972602737,498.5399178082192,3353.5394794520553
AVA,5,3660.146794520548,489.4508219178082,3170.69597260274
AVA,6,3453.006109589041,474.7687945205479,2978.2373150684934
AVA,7,3240.3165479452055,447.01016438356163,2793.3063835616435
AVA,8,3051.7430684931514,426.2126849315069,2625.5303835616437
AVA,9,2928.099643835617,414.55263013698635,2513.54701369863
AVA,10,2862.5862739726026,405.4009863013699,2457.185287671233
AVA,11,2848.3783287671235,396.87852054794524,2451.4998082191782
AVA,12,2906.4386027397254,390.876301369863,2515.562301369863
AVA,13,3057.958904109589,393.67635616438355,2664.2825479452054
AVA,14,3250.9364383561638,404.7315342465754,2846.2049041095893
AVA,15,3465.8028493150687,441.22679452054797,3024.576054794521
AVA,16,3604.2874794520553,438.54158904109585,3165.745890410959
AVA,17,3662.5185753424653,423.74101369863007,3238.7775616438357
AVA,18,3683.316493150685,405.94194520547944,3277.3745479452054
AVA,19,3704.4242739726024,401.34690410958905,3303.0773698630132
AVA,20,3722.0249041095885,405.7422191780821,3316.2826849315065
AVA,21,3723.8288493150685,405.23460273972603,3318.5942465753424
AVA,22,3735.938712328767,421.65112328767134,3314.287589041095
AVA,23,3754.315287671233,447.498602739726,3306.816684931507
AZPS,0,9823.549808219179,2854.8121095890415,6968.737698630136
AZPS,1,10139.143369863014,3024.627397260274,7114.51597260274
AZPS,2,9959.034849315069,2864.3313698630136,7094.703479452055
AZPS,3,9666.809452054795,2745.928904109589,6920.880547945207
AZPS,4,9374.679369863014,2665.967178082192,6708.712191780821
AZPS,5,8845.213780821918,2544.79202739726,6300.421753424657
AZPS,6,8279.008219178082,2403.545178082192,5875.46304109589
AZPS,7,7712.533643835616,2231.655671232877,5480.87797260274
AZPS,8,7259.465506849316,2137.1478082191784,5122.317698630137
AZPS,9,6929.330849315068,2072.3396712328768,4856.991178082191
AZPS,10,6744.679863013698,2013.259589041096,4731.420273972602
AZPS,11,6680.933123287671,1978.302,4702.631123287671
AZPS,12,6706.958547945206,1980.4205753424658,4726.5379726027395
AZPS,13,6900.715808219177,2086.101205479452,4814.614602739726
AZPS,14,7291.486246575342,2258.1715616438355,5033.314684931506
AZPS,15,7627.3753698630135,2334.5679999999998,5292.807369863014
AZPS,16,7599.8321643835625,2167.940410958904,5431.8917534246575
AZPS,17,7593.11408219178,2035.6899452054797,5557.424136986301
AZPS,18,7683.490575342465,1965.9465753424658,5717.544
AZPS,19,7900.185123287671,1990.1242739726024,5910.0608493150685
AZPS,20,8160.712356164383,2035.3430410958904,6125.369315068493
AZPS,21,8492.79394520548,2123.477150684931,6369.316794520548
AZPS,22,8888.855178082193,2272.579698630137,6616.275479452054
AZPS,23,9322.44093150685,2522.547123287671,6799.893808219179
BANC,0,6886.035342465754,1312.537589041096,5573.497753424658
BANC,1,7128.295835616437,1408.4758356164384,5719.82
BANC,2,7155.033890410959,1408.8318082191781,5746.20208219178
BANC,3,7083.727178082191,1368.7221369863014,5715.00504109589
BANC,4,6908.710356164383,1347.3267123287671,5561.383643835617
BANC,5,6581.658493150684,1324.676493150685,5256.982
BANC,6,6132.639178082191,1293.6449863013697,4838.994191780822
BANC,7,5683.616712328768,1227.630876712329,4455.985835616439
BANC,8,5293.569753424657,1180.7846575342467,4112.785095890411
BANC,9,4980.587424657534,1154.379917808219,3826.207506849315
BANC,10,4796.542383561644,1134.1081369863014,3662.4342465753425
BANC,11,4743.06405479452,1116.0235342465753,3627.040520547945
BANC,12,4778.343287671233,1103.6576164383562,3674.6856712328768
BANC,13,4877.746931506849,1113.0426575342467,3764.704273972603
BANC,14,5077.314438356165,1136.204410958904,3941.11002739726
BANC,15,5360.401671232877,1219.559780821918,4140.841890410959
BANC,16,5545.980383561643,1200.126410958904,4345.85397260274
BANC,17,5663.038986301369,1160.9385479452058,4502.100438356165
BANC,18,5784.55989041096,1119.3345753424658,4665.225315068493
BANC,19,5948.571095890411,1108.2741095890412,4840.2969863013695
BANC,20,6135.702465753426,1126.8388493150685,5008.863616438356
BANC,21,6301.062657534247,1122.8981369863013,5178.164520547944
BANC,22,6498.063863013699,1162.783506849315,5335.280356164384
BANC,23,6689.601205479452,1228.2103287671234,5461.390876712329
BPAT,0,16641.94789041096,2403.031315068493,14238.916575342466
BPAT,1,17166.705945205482,2572.0397808219177,14594.666164383563
BPAT,2,17432.409506849315,2581.984767123288,14850.424739726028
BPAT,3,17519.68317808219,2510.3736164383563,15009.309561643837
BPAT,4,17323.415342465752,2472.130684931507,14851.284657534248
BPAT,5,16730.056054794517,2426.7629315068493,14303.293123287673
BPAT,6,15943.532273972603,2358.332191780822,13585.20008219178
BPAT,7,15071.323671232876,2234.7330136986297,12836.590657534247
BPAT,8,14273.924356164385,2144.58002739726,12129.344328767125
BPAT,9,13749.091369863012,2092.757287671233,11656.334082191783
BPAT,10,13481.368739726027,2052.041589041096,11429.327150684932
BPAT,11,13464.399041095892,2014.9290684931507,11449.46997260274
BPAT,12,13738.384191780824,1990.9062191780822,11747.47797260274
BPAT,13,14323.326191780823,2008.2949589041093,12315.031232876714
BPAT,14,15108.37115068493,2066.5289041095893,13041.842246575343
BPAT,15,15953.618657534247,2221.0443287671233,13732.574328767125
BPAT,16,16407.51717808219,2197.8319178082193,14209.685260273973
BPAT,17,16515.706109589042,2128.0272602739724,14387.678849315069
BPAT,18,16426.51928767123,2049.017890410959,14377.501397260274
BPAT,19,16348.345753424657,2028.9517260273972,14319.39402739726
BPAT,20,16298.496164383561,2053.760876712329,14244.735287671232
BPAT,21,16207.733616438354,2055.624849315069,14152.108767123285
BPAT,22,16177.775616438355,2133.527232876713,14044.248383561644
BPAT,23,16170.666273972602,2251.2190684931506,13919.447205479453
CHPD,0,983.1987123287672,497.7453698630137,485.45334246575334
CHPD,1,992.734904109589,501.81775342465755,490.91715068493147
CHPD,2,990.7851780821917,501.40663013698634,489.3785479452055
CHPD,3,980.4831232876711,499.3730958904109,481.1100273972603
CHPD,4,965.5061369863014,498.34172602739727,467.1644109589041
CHPD,5,949.5331232876712,497.3952876712329,452.13783561643834
CHPD,6,933.3002739726027,496.38684931506845,436.9134246575342
CHPD,7,915.4873698630138,493.8249315068492,421.66243835616433
CHPD,8,900.4084383561644,492.00284931506843,408.4055890410958
CHPD,9,889.5620821917809,491.0363561643835,398.52572602739724
CHPD,10,887.7395342465753,490.2730136986301,397.4665205479452
CHPD,11,895.9648767123288,489.5946575342466,406.3702191780822
CHPD,12,910.121808219178,489.0755342465754,421.04627397260276
CHPD,13,930.4179726027397,489.4890410958904,440.9289315068493
CHPD,14,955.6463287671234,490.0630136986301,465.58331506849316
CHPD,15,982.3528493150686,493.3091232876712,489.0437260273972
CHPD,16,994.7522465753425,492.36863013698627,502.3836164383561
CHPD,17,990.5736712328768,490.9642191780822,499.60945205479453
CHPD,18,980.2621095890411,489.4599178082192,490.8021917808219
CHPD,19,973.0567397260274,489.3109315068493,483.74580821917806
CHPD,20,969.0382739726026,490.0475616438356,478.9907123287671
CHPD,21,967.1401369863014,489.95353424657526,477.18660273972597
CHPD,22,967.6107123287672,491.3256164383561,476.28509589041096
CHPD,23,969.678602739726,494.09547945205475,475.58312328767124
CISO,0,86346.16126027398,15374.089150684931,70972.07210958905
CISO,1,89273.7315890411,16705.910027397258,72567.82156164382
CISO,2,90117.68619178081,16686.022493150685,73431.66369863013
CISO,3,89775.14780821918,16123.873424657537,73651.27438356164
CISO,4,88922.5878630137,15825.351013698628,73097.23684931507
CISO,5,85766.66720547945,15512.078246575344,70254.5889589041
CISO,6,81047.44120547945,15094.8641369863,65952.57706849316
CISO,7,75911.69723287672,14180.765780821917,61730.93145205479
CISO,8,71283.0901369863,13540.043232876711,57743.04690410959
CISO,9,67519.36424657534,13180.136136986303,54339.22810958904
CISO,10,65109.851150684925,12904.243726027396,52205.60742465754
CISO,11,64040.52895890411,12660.006986301369,51380.52197260275
