BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,0,1834.9441643835617,48.10635616438356,1786.837808219178
AVA,1,1877.3592876712326,54.167452054794516,1823.191835616438
AVA,2,1893.0648219178079,50.49421917808219,1842.5706027397262
AVA,3,1884.296931506849,43.5332602739726,1840.7636712328767
AVA,4,1837.8350136986303,38.629698630136986,1799.205315068493
AVA,5,1737.6398630136985,33.58383561643835,1704.05602739726
AVA,6,1634.1191780821919,28.649479452054795,1605.4696986301371
AVA,7,1530.9518082191778,21.73317808219178,1509.2186301369861
AVA,8,1438.9227945205482,17.186246575342466,1421.7365479452053
AVA,9,1375.8480273972602,14.300657534246575,1361.5473698630137
AVA,10,1343.0033698630139,12.357643835616438,1330.6457260273974
AVA,11,1342.0918630136987,11.322904109589043,1330.7689589041095
AVA,12,1379.1554794520548,11.694273972602739,1367.461205479452
AVA,13,1462.7807671232877,15.543945205479455,1447.2368219178084
AVA,14,1566.371205479452,22.48457534246575,1543.8866301369862
AVA,15,1670.9460000000001,33.32331506849315,1637.622684931507
AVA,16,1746.6656986301368,33.51717808219178,1713.148520547945
AVA,17,1782.2635616438356,31.282383561643833,1750.9811780821915
AVA,18,1794.7189589041093,28.801479452054796,1765.9174794520547
AVA,19,1801.9534794520546,29.612657534246573,1772.340821917808
AVA,20,1805.8042739726027,30.96490410958904,1774.8393698630136
AVA,21,1804.7438630136987,30.915342465753422,1773.8285205479453
AVA,22,1805.1979726027398,34.563890410958905,1770.6340821917806
AVA,23,1805.3863561643836,40.220328767123284,1765.1660273972605
AZPS,0,5023.435260273973,468.41865753424656,4555.016602739726
AZPS,1,5199.693123287671,499.3982191780821,4700.294904109589
AZPS,2,5131.623178082192,423.125698630137,4708.497479452055
AZPS,3,4966.844191780821,361.6068767123288,4605.237315068493
AZPS,4,4773.638383561643,313.81619178082195,4459.822191780822
AZPS,5,4452.734493150685,262.1292876712329,4190.605205479452
AZPS,6,4129.618410958904,221.35586301369867,3908.262547945206
AZPS,7,3816.55197260274,169.91326027397258,3646.6387123287673
AZPS,8,3555.7937534246576,140.87216438356162,3414.9215890410956
AZPS,9,3374.4283561643833,123.60375342465754,3250.824602739726
AZPS,10,3291.580027397261,113.15731506849316,3178.4227123287674
AZPS,11,3280.6183287671233,116.32435616438357,3164.2939726027403
AZPS,12,3325.1547397260274,139.8658904109589,3185.288849315069
AZPS,13,3455.9828493150685,209.82167123287672,3246.1611780821913
AZPS,14,3663.855424657534,274.1632602739726,3389.692164383562
AZPS,15,3858.998904109589,311.4700821917808,3547.5288219178083
AZPS,16,3895.3423835616436,265.7615068493151,3629.580876712329
AZPS,17,3923.4132876712333,238.25887671232874,3685.1544109589045
AZPS,18,3993.3385205479453,233.7761917808219,3759.5623287671233
AZPS,19,4106.468164383561,243.08778082191782,3863.3803835616436
AZPS,20,4245.937041095891,262.95084931506847,3982.9861917808216
AZPS,21,4411.448657534246,284.46646575342464,4126.982191780822
AZPS,22,4604.116767123288,318.58191780821915,4285.534849315069
AZPS,23,4799.862547945206,388.3744657534247,4411.488082191781
BANC,0,3012.2803287671236,212.93128767123284,2799.3490410958902
BANC,1,3117.3003835616437,238.90416438356166,2878.3962191780824
BANC,2,3119.802602739726,224.5821643835616,2895.2204383561643
BANC,3,3065.7409041095893,195.26372602739724,2870.477178082192
BANC,4,2957.875397260274,173.59052054794523,2784.2848767123287
BANC,5,2776.5427397260273,152.0494520547945,2624.493287671233
BANC,6,2548.506493150685,129.49761643835615,2419.008876712329
BANC,7,2332.980328767123,99.01279452054794,2233.9675342465753
BANC,8,2143.536739726027,78.79293150684931,2064.743808219178
BANC,9,1989.5438356164384,66.03536986301371,1923.5084657534248
BANC,10,1899.5913972602743,57.40813698630137,1842.1832602739726
BANC,11,1878.6094246575342,52.85739726027396,1825.7520273972602
BANC,12,1903.559808219178,54.56221917808219,1848.9975890410963
BANC,13,1964.7673150684934,71.48630136986303,1893.28101369863
BANC,14,2093.8180821917813,104.19030136986301,1989.6277808219174
BANC,15,2250.5709041095893,152.00169863013699,2098.569205479452
BANC,16,2362.944,152.63646575342466,2210.307534246576
BANC,17,2430.6284657534247,142.64172602739728,2287.9867397260273
BANC,18,2496.5513424657534,132.83660273972603,2363.714739726027
BANC,19,2580.6146301369863,135.56454794520548,2445.050082191781
BANC,20,2665.3293698630137,141.72608219178085,2523.603287671233
BANC,21,2742.8355616438357,140.67810958904107,2602.1574520547947
BANC,22,2834.3196438356163,156.42931506849317,2677.8903287671237
BANC,23,2925.110849315068,180.582301369863,2744.528547945206
BPAT,0,8002.599589041095,313.58802739726025,7689.011561643835
BPAT,1,8286.524273972602,347.1401369863014,7939.384136986301
BPAT,2,8442.767205479451,325.11301369863014,8117.654191780822
BPAT,3,8486.673589041096,281.0866301369863,8205.586958904109
BPAT,4,8356.891753424658,249.98257534246576,8106.909178082191
BPAT,5,8024.843726027397,216.39383561643837,7808.449890410959
BPAT,6,7606.870630136987,180.54871232876712,7426.321917808219
BPAT,7,7171.625616438357,134.64331506849314,7036.982301369863
BPAT,8,6772.154191780822,104.13693150684931,6668.017260273972
BPAT,9,6508.018657534247,84.96394520547945,6423.054712328766
BPAT,10,6394.796273972603,72.30460273972602,6322.491671232877
BPAT,11,6433.641369863014,65.59498630136987,6368.046383561645
BPAT,12,6629.191643835617,69.25843835616439,6559.933205479452
BPAT,13,6983.654684931506,96.07852054794522,6887.576164383561
BPAT,14,7445.541342465753,146.6087397260274,7298.932602739726
BPAT,15,7887.01405479452,217.23336986301368,7669.7806849315075
BPAT,16,8147.221424657535,221.20523287671233,7926.016191780823
BPAT,17,8210.832767123287,208.0635890410959,8002.7691780821915
BPAT,18,8134.256191780822,192.31043835616438,7941.945753424658
BPAT,19,8059.279753424657,196.1614794520548,7863.118273972603
BPAT,20,7991.733342465754,202.89438356164382,7788.838958904109
BPAT,21,7928.7699452054785,204.48953424657537,7724.280410958904
BPAT,22,7902.576684931508,229.0173698630137,7673.559315068493
BPAT,23,7892.511178082192,265.37090410958905,7627.140273972604
CHPD,0,268.9570410958904,7.6586849315068495,261.29835616438356
CHPD,1,277.21720547945205,8.515643835616439,268.70156164383565
CHPD,2,277.452301369863,7.796109589041095,269.6561917808219
CHPD,3,272.7660821917808,6.670493150684932,266.0955890410959
CHPD,4,265.08780821917804,6.013698630136986,259.0741095890411
CHPD,5,256.4773698630137,5.325424657534247,251.15194520547942
CHPD,6,247.74868493150686,4.680383561643836,243.068301369863
CHPD,7,238.75142465753422,3.6247397260273972,235.12668493150682
CHPD,8,231.11358904109588,2.9925205479452055,228.1210684931507
CHPD,9,226.21720547945205,2.602904109589041,223.61430136986303
CHPD,10,227.0170136986301,2.342465753424657,224.67454794520546
CHPD,11,232.30046575342465,2.2139178082191777,230.08654794520547
CHPD,12,241.1114794520548,2.2623561643835615,238.8491232876712
CHPD,13,252.91460273972598,2.8266575342465754,250.08794520547943
CHPD,14,267.7475068493151,3.6653424657534246,264.08216438356163
CHPD,15,281.2218630136987,5.195753424657535,276.0261095890411
CHPD,16,286.8447671232877,5.0568767123287675,281.78789041095894
CHPD,17,284.06419178082194,4.774712328767123,279.28947945205476
CHPD,18,276.55471232876715,4.38172602739726,272.17298630136986
CHPD,19,271.3725205479452,4.483780821917808,266.8887397260274
CHPD,20,268.3720547945205,4.775123287671233,263.59693150684933
CHPD,21,266.2651232876712,4.783424657534247,261.48169863013703
CHPD,22,266.07361643835617,5.290301369863014,260.7833150684931
CHPD,23,267.1129315068493,6.213643835616439,260.89928767123286
CISO,0,37963.00575342466,2762.4333698630135,35200.572383561645
CISO,1,39283.87561643835,3114.444739726028,36169.43087671233
CISO,2,39619.3018630137,2910.741890410959,36708.559972602736
CISO,3,39179.46397260274,2515.3284931506846,36664.13547945206
CISO,4,38528.27794520548,2225.067123287671,36303.210821917804
CISO,5,36715.66745205479,1936.5301643835617,34779.137287671234
CISO,6,34275.432273972605,1641.095205479452,32634.337068493154
CISO,7,31813.45506849315,1234.0768493150686,30579.378219178085
CISO,8,29605.401068493153,967.244109589041,28638.156958904106
CISO,9,27773.017041095885,799.106109589041,26973.91093150685
CISO,10,26593.06312328767,686.4098082191781,25906.653315068495
CISO,11,26163.514575342466,627.9457260273973,25535.568849315066
CISO,12,26328.008575342465,652.0401643835618,25675.968410958907
CISO,13,26906.196794520547,879.7693698630136,26026.427424657533
CISO,14,28404.305808219182,1306.270109589041,27098.035698630134
CISO,15,30395.961917808225,1941.228383561644,28454.733534246578
CISO,16,31732.022712328766,1931.0348493150684,29800.9878630137
CISO,17,32194.8777260274,1793.4806575342463,30401.39706849315
CISO,18,32516.131205479454,1660.4255342465756,30855.705671232878
CISO,19,33031.5618630137,1697.1626575342466,31334.399205479454
CISO,20,33683.561095890414,1789.4576986301372,31894.103397260275
CISO,21,34332.64410958903,1777.0307671232877,32555.613342465756
CISO,22,35180.658246575345,1989.1415342465757,33191.51671232877
CISO,23,35998.99769863014,2319.12501369863,33679.87268493151
DOPD,0,245.24539726027396,2.695041095890411,242.55035616438357
DOPD,1,251.42109589041098,3.345342465753425,248.0757534246575
