BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,0,2149.2232602739728,161.84583561643834,1987.3774246575342
AVA,1,2200.5981643835617,180.76142465753423,2019.8367397260272
AVA,2,2206.2077260273973,172.68402739726028,2033.523698630137
AVA,3,2187.8658356164383,155.62139726027397,2032.2444383561642
AVA,4,2135.1485205479453,144.65668493150685,1990.491835616438
AVA,5,2014.2051780821919,133.43128767123287,1880.7738904109588
AVA,6,1888.3163287671232,121.93928767123286,1766.3770410958907
AVA,7,1759.9313424657532,103.46482191780822,1656.4665205479453
AVA,8,1647.43901369863,91.20128767123286,1556.2377260273972
AVA,9,1574.6570410958907,83.8086301369863,1490.848410958904
AVA,10,1536.281397260274,78.63684931506849,1457.6445479452054
AVA,11,1530.9337534246577,75.42999999999999,1455.5037534246576
AVA,12,1569.8422465753422,75.17241095890411,1494.6698356164384
AVA,13,1666.3253698630137,83.33682191780821,1582.9885479452057
AVA,14,1789.6750684931508,98.06232876712329,1691.6127397260275
AVA,15,1922.4275068493153,125.15717808219176,1797.2703287671231
AVA,16,2004.7621917808217,123.29227397260274,1881.4699178082192
AVA,17,2042.3230410958902,116.51402739726026,1925.8090136986302
AVA,18,2056.385589041096,108.99323287671233,1947.3923561643835
AVA,19,2070.1227397260277,109.86704109589041,1960.255698630137
AVA,20,2081.8279726027395,114.22668493150684,1967.6012876712327
AVA,21,2083.9776438356166,113.68720547945207,1970.2904383561645
AVA,22,2090.617178082192,123.2449315068493,1967.3722465753428
AVA,23,2101.7597260273974,139.6229315068493,1962.1367945205477
AZPS,0,6568.713397260274,1382.2548767123285,5186.458520547945
AZPS,1,6794.342438356165,1495.5588493150685,5298.783589041096
AZPS,2,6601.028493150685,1302.8972876712328,5298.131205479453
AZPS,3,6326.150219178083,1153.0347671232876,5173.115452054795
AZPS,4,6055.565315068493,1048.0693150684933,5007.496
AZPS,5,5634.171315068494,931.4115616438357,4702.759753424658
AZPS,6,5231.024575342466,845.3493150684932,4385.6752602739725
AZPS,7,4800.012794520549,714.6720273972603,4085.340767123287
AZPS,8,4454.189561643835,644.1621095890412,3810.0274520547946
AZPS,9,4210.778794520548,602.1553424657535,3608.6234520547946
AZPS,10,4086.3908767123285,573.6289589041096,3512.7619178082196
AZPS,11,4059.64895890411,574.9372328767123,3484.711726027397
AZPS,12,4113.396191780822,615.6039178082192,3497.792273972603
AZPS,13,4320.117424657534,761.8023287671232,3558.315095890411
AZPS,14,4604.854767123287,892.1912602739726,3712.6635068493147
AZPS,15,4869.7504109589045,979.3565753424658,3890.3938356164385
AZPS,16,4836.3279726027395,839.9810958904109,3996.346876712329
AZPS,17,4848.423369863014,762.1036712328766,4086.3196986301373
AZPS,18,4948.218684931507,738.8598904109589,4209.358794520548
AZPS,19,5126.20608219178,765.2969863013699,4360.909095890411
AZPS,20,5345.636575342466,823.8234520547945,4521.813123287671
AZPS,21,5570.532630136987,871.7476712328768,4698.78495890411
AZPS,22,5839.59597260274,960.5753150684931,4879.020657534246
AZPS,23,6165.851534246575,1149.502712328767,5016.348821917808
BANC,0,3529.5810410958898,513.1084657534246,3016.472575342466
BANC,1,3671.949315068493,578.2445205479452,3093.7047945205472
BANC,2,3662.445369863013,549.4318356164383,3113.013534246575
BANC,3,3598.5670410958905,494.1025479452055,3104.464493150685
BANC,4,3485.784767123288,456.921506849315,3028.8632602739726
BANC,5,3294.8238356164384,420.31208219178086,2874.511753424658
BANC,6,3036.9180273972606,384.5952328767124,2652.3227945205476
BANC,7,2771.878821917808,324.4165205479452,2447.462301369863
BANC,8,2545.4334794520546,285.3555342465753,2260.0779452054794
BANC,9,2363.860794520548,261.83186301369864,2102.0289315068494
BANC,10,2256.5074794520547,245.51687671232878,2010.990602739726
BANC,11,2224.3026575342465,235.8548493150685,1988.4478082191783
BANC,12,2244.252,235.5821095890411,2008.669890410959
BANC,13,2316.2034246575345,263.0582465753425,2053.1451780821917
BANC,14,2456.2975616438357,310.0242739726027,2146.273287671233
BANC,15,2658.979506849315,396.79846575342464,2262.1810410958906
BANC,16,2759.2762191780826,384.2073424657534,2375.0688767123283
BANC,17,2823.1789589041095,358.9132876712328,2464.265671232877
BANC,18,2883.9909041095893,335.1881095890411,2548.802794520548
BANC,19,2974.5530684931505,337.944301369863,2636.6087671232876
BANC,20,3075.776794520548,355.8416164383562,2719.935178082192
BANC,21,3157.021315068493,352.68553424657534,2804.335780821918
BANC,22,3272.8198356164385,384.37282191780827,2888.4470136986297
BANC,23,3396.5287397260267,439.26123287671237,2957.267506849315
BPAT,0,9448.823863013698,846.9124383561644,8601.911424657534
BPAT,1,9774.279589041096,948.5732054794521,8825.706383561643
BPAT,2,9894.088712328767,911.9525753424656,8982.1361369863
BPAT,3,9897.735945205479,828.5331780821919,9069.202767123286
BPAT,4,9738.959890410959,769.8017260273973,8969.158164383562
BPAT,5,9348.00512328767,709.7010958904109,8638.30402739726
BPAT,6,8845.594438356164,644.4072602739726,8201.187178082191
